,third_level
Openings and opening component products,1064
Furnishings,763
Sanitary fittings and accessories,594
Structure and general products,576
Space heating and cooling products,402
Hardware products,280
Power and lighting outlet products,254
Services support and containment products,239
Air and fume distribution products,206
Trim products,197
"Non-rigid sheet, mat and strip covering and finish products",156
Unit covering and finish products,96
Handrails,45
"Floor plates, gratings and edgings",39
Treads and landing units,14
Sectional products,8
Prefabricated buildings and structures,7
Glass blocks and panels,6
Masonry walling units,4
Formless structure and general products,3
