firstb_level,price_latest
"Heating, cooling and refrigeration functions",46341.75
"Signage, fittings, furnishings and equipment",25615.0146
Wall and barrier elements,23555.5936
Ventilation and air conditioning functions,16529.66
Stairs and ramps,16167.06
"Roofs, floor and paving elements",15439.802
Other,12893.6934
"Communications, security, safety and protection functions",11095.4032
Piped supply functions,10392.9
"Tunnel, vessel and tower elements",8341.5934
Electrical power and lighting functions,6476.575
Waste disposal functions,2914.1868
Transport functions,2294.131
Structural elements,2117.4174000000003
Earthworks and remediation,661.5
Flora and fauna elements,570.85
Process engineering,250.929
Vehicle functions,107.8
