fourth_level,count
Other,40
Cold storage,25
Heating,17
Artworks,17
Free-standing walls,9
General space ventilation,7
Arched roofs,7
Doors,6
Windows,6
Domed roofs,5
Gantries,5
Mechanical below-ground drainage,5
Chimneys,4
Water fire suppression supply,3
Water firefighting supply,3
Secondary wastewater treatment,3
Cooling,3
Wastewater treatment inlet works,2
Tramway heating,2
Irrigation water supply,2
Internal stairs,2
"Combined heating, cooling and power",2
Manufacturing processes,2
Industrial fume extraction,2
Railway heating,2
Upper floors,2
Primary wastewater treatment,1
Ground floors,1
External ramps,1
Composite structures,1
Pitched roofs,1
Mezzanine floors,1
Grass and meadow elements,1
Hatches,1
External walls,1
Framed structures,1
Aeronautical lighting,1
Goods lifts,1
Laboratory gas supply,1
Trenches,1
Vents,1
Fixed barriers,1
Preliminary wastewater treatment,1
Ceilings,1
Renewable power generation,1
Mechanical above-ground drainage,1
