fourth_level,count
Doors,82
Other,38
Ceilings,25
General space lighting,25
External lighting,24
Domed roofs,22
Artworks,21
Cooling,20
Ground floors,18
Windows,17
Mechanical below-ground drainage,16
Heating,12
Vehicular lifts,12
Irrigation water supply,10
Free-standing walls,10
External stairs,8
Arched roofs,8
Personnel lifts,7
Conductor rail traction power distribution,7
Solid structures,7
Goods lifts,7
Internal stairs,6
"Metering, monitoring and management",6
Cable management,6
Cold storage,5
Monitoring,5
Mezzanine floors,5
Fences,5
Framed structures,5
Parapet walls,4
Public communications,4
Gates,4
Transmission circuit,4
Low-voltage electricity distribution,3
Hot and cold water supply,3
Immersed tube tunnels,3
Cut-and-cover tunnels,3
Wastewater treatment inlet works,3
Foam fire-extinguishing supply,2
Vehicular pavements,2
External walls,2
Process gas supply,2
Trenches,2
Security screening,2
Central air conditioning,2
Transmission switching,1
Ground level,1
Mechanical above-ground drainage,1
Flat roofs,1
Upper floors,1
Aeronautical lighting,1
Robotics,1
Laboratory gas supply,1
Tertiary wastewater treatment,1
Gaseous fire-extinguishing supply,1
Sludge treatment,1
Basement level,1
General processes,1
"Remediation, repair and renovation",1
Access control,1
Pedestrian pavements,1
Curved roofs,1
Water fire suppression supply,1
Grass and meadow elements,1
Rail signals and controls,1
Rolling stock,1
Groundworks and earthworks,1
Gravity above-ground drainage,1
Composite structures,1
Marine signals,1
Security detection and alarms,1
Soffits,1
