firstb_level,count
"Heating, cooling and refrigeration functions",456
Other,393
Wall and barrier elements,267
Waste disposal functions,156
"Signage, fittings, furnishings and equipment",152
"Roofs, floor and paving elements",137
Piped supply functions,103
Electrical power and lighting functions,92
Structural elements,87
"Tunnel, vessel and tower elements",79
Ventilation and air conditioning functions,76
Transport functions,39
"Communications, security, safety and protection functions",31
Process engineering,18
Stairs and ramps,16
Earthworks and remediation,5
Flora and fauna elements,5
Vehicle functions,3
