third_level,LastPriceNumeric
Openings,127233.4
Walls,75267.45
Roofs,75057.1
Other,29433.01
Furnishings,23206.0
Stairs,22938.0
Pavements,13384.92
Superstructure,9669.0
Space heating and cooling,8527.5
Bridge structures,6896.12
Environmental safety,5999.0
Barriers,5363.98
Floors,4932.2300000000005
Ramps,4779.0
Lighting,4284.0
Rail tracks,4021.9
Lifts,4015.0
Control and management,4000.0
"Tree, shrub and herbaceous plant elements",3678.85
Grass and meadow elements,3434.7
Ventilation,3359.0
Fire-extinguishing supply,3160.0
Ceilings and soffits,2945.98
Fittings,2535.0
Drainage treatment and disposal,2530.0
"Towers, chimneys and masts",2491.9
Communication,1659.99
Rolling stock,1500.0
Vessels and trenches,1463.46
Cultural elements,1153.0
Equipment,1080.8600000000001
Safety and protection,810.0
Tunnels and shafts,808.9
Drying,791.0
Rail and paving heating,725.9
Protection,616.98
Electricity transmission,569.5
Building levels,423.29
Water extraction and treatment,390.0
Wastewater treatment and disposal,220.0
Signage,195.65
Air conditioning,174.0
Refrigeration,174.0
Security,165.0
Water supply,160.0
Conveyors,90.0
Substructure,40.0
Land fauna elements,29.0
Dry waste collection,5.0
Cable transport,2.0
"Remediation, repair and renovation",1.0
Piped solids supply,1.0
Decks,1.0
Cranes and hoists,0.1
