firstb_level,count
"Heating, cooling and refrigeration functions",507
Other,433
Wall and barrier elements,292
Waste disposal functions,169
"Signage, fittings, furnishings and equipment",169
"Roofs, floor and paving elements",155
Piped supply functions,112
Electrical power and lighting functions,94
"Tunnel, vessel and tower elements",89
Structural elements,89
Ventilation and air conditioning functions,85
Transport functions,40
"Communications, security, safety and protection functions",31
Process engineering,20
Stairs and ramps,19
Flora and fauna elements,6
Earthworks and remediation,5
Vehicle functions,3
