fourth_level,LastPrice
Doors,362193.26
Framed structures,63176.516
Other,36855.7475
Windows,32355.31
Cooling,31881.850000000002
Artworks,23296.9425
Arched roofs,11365.12
Heating,5135.91
Domed roofs,4959.24
Upper floors,4592.900000000001
Personnel lifts,4186.91
External lighting,3755.635
Vehicular space ventilation,3749.2000000000003
Chimneys,3453.84
Aeronautical lighting,3376.425
External walls below DPC,3064.62
Cold storage,3030.56
Internal walls,2819.05
Fences,2806.96
Bridge decks,2778.425
Gates,2743.0
Parapet walls,2685.67
Mezzanine floors,2677.35
Transmission switching,2347.15
Mechanical below-ground drainage,2312.05
Mechanical power,2218.84
External walls,2159.8525
External stairs,2022.15
Internal stairs,1959.1000000000001
Free-standing walls,1834.69
Laboratory gas supply,1757.73
Goods lifts,1708.3300000000002
Wastewater treatment inlet works,1313.65
General space lighting,1310.01
Ceilings,1261.65
Piers,1242.8
Solid structures,1207.05
Abutments,1162.72
Rolling stock,1118.0
Small power supply,1085.175
Ground floors,1073.8
Curved roofs,1060.54
Rail signals and controls,995.15
Pitched roofs,938.47
Transmission circuit,875.4525
"Metering, monitoring and management",832.0
Access control,829.4
Security screening,761.8000000000001
Groundworks and earthworks,717.73
Composite structures,715.39
Tramway heating,682.5
Public communications,665.6
Upper level,655.59
Immersed tube tunnels,599.95
Monitoring,582.4
Masts,574.47
Fixed barriers,567.84
Towers,563.16
General space ventilation,557.83
Robotics,547.4300000000001
Preliminary wastewater treatment,513.5
Manufacturing processes,513.5
Gravity above-ground drainage,471.25
Process gas supply,466.05
Gantries,464.1
Sludge treatment,461.5
Central air conditioning,453.7
Vessels,442.26
Ground level,442.13
Opening barriers,417.82
Local air conditioning,399.75
Vents,399.75
Vehicular lifts,398.32
"Tree, shrub and herbaceous plant elements",350.805
Mechanical engineering services control and management,328.25
Liquid detection and alarms,315.25
Pylons,314.34000000000003
Structural monitoring,308.1
Hatches,286.0
Irrigation water supply,280.8
Gaseous fire-extinguishing supply,262.40500000000003
Mechanical above-ground drainage,259.35
Grass and meadow elements,250.25
Marine signals,248.69
Smoke extraction and control,234.91
Shell structures,228.41
Bored tunnels,218.4
Foam fire-extinguishing supply,198.9
Fire and smoke detection and alarms,195.0
Basement level,175.5
Vehicular pavements,169.0
Water firefighting supply,159.9
Aquatic fauna elements,156.0
Spans,147.29
External walls below ground,146.9
Louvres,143.0
Cable management,141.05
Cut-and-cover tunnels,131.82
Trenches,131.3
Basement floors,130.0
Road signals and controls,126.75
"Combined heating, cooling and power",125.45
Overhead line traction power distribution,124.80000000000001
Bearings,123.37
Pedestrian pavements,106.60000000000001
Pavement heating,104.65
Patient monitoring and telemetry,103.35000000000001
Gas detection and alarms,94.9
Emergency communications,93.99000000000001
Soffits,91.26
Medical gas and vacuum supply,91.0
Tertiary wastewater treatment,84.5
Security detection and alarms,83.72
Mezzanine level,78.0
Controlled environments,78.0
Transmission network control and protection,77.35000000000001
Data distribution and telecommunications,65.325
High-voltage transformation,62.400000000000006
Membrane structures,61.49
Conductor rail traction power distribution,57.59
High-voltage electricity distribution,55.25
Land fauna elements,52.0
Radio and television distribution,48.75
Internal ramps,39.26
Fume extraction,38.22
Industrial fume extraction,34.45
Waterway signals,32.5
Tramway signals,26.0
External ramps,25.35
Low-voltage electricity distribution,24.7
Renewable power generation,19.5
Hot and cold water supply,14.3
Primary wastewater treatment,13.0
Fossil fuel power generation,8.71
Water fire suppression supply,8.450000000000001
Aquatic flora elements,6.5
Flat roofs,6.5
"Remediation, repair and renovation",3.25
Medium-voltage electricity distribution,3.25
