fourth_level,count
Other,94
Doors,94
Artworks,85
External lighting,53
General space lighting,38
Mezzanine floors,30
Aeronautical lighting,25
Free-standing walls,13
Framed structures,10
Goods lifts,8
Wastewater treatment inlet works,7
Ceilings,7
Vehicular lifts,6
Laboratory gas supply,5
Personnel lifts,4
Solid structures,3
Parapet walls,3
Fences,3
Manufacturing processes,3
Irrigation water supply,3
Pitched roofs,2
Composite structures,2
Rolling stock,2
Gaseous fire-extinguishing supply,2
Mechanical above-ground drainage,2
Preliminary wastewater treatment,2
Cold storage,2
Rail signals and controls,2
Curved roofs,1
Overhead line traction power distribution,1
Tramway heating,1
Internal stairs,1
Chimneys,1
Internal walls,1
Towers,1
Transport management,1
Robotics,1
General space ventilation,1
Mechanical below-ground drainage,1
Louvres,1
Local air conditioning,1
Industrial fume extraction,1
Flat roofs,1
Foam fire-extinguishing supply,1
Arched roofs,1
"Metering, monitoring and management",1
Monitoring,1
Land fauna elements,1
Hatches,1
Mezzanine level,1
Bearings,1
