third_level,LastPrice
Other,376670.0
"Floor plates, gratings and edgings",165945.0
Space heating and cooling products,154153.0
Sanitary fittings and accessories,151639.0
Glass blocks and panels,117315.0
"Lighting columns, brackets and bollards",96706.0
Furnishings,94026.0
Power and lighting outlet products,67114.0
Prefabricated buildings and structures,51337.0
Trim products,31295.0
Headwall and swale inlet products,24608.0
Handrails,21660.0
Unit covering and finish products,21353.0
Masonry walling units,21102.0
Walling units,20744.0
Structural roofing units,15070.0
Air and fume distribution products,10944.0
Wire structure and general products,8972.0
Fastener products,8711.0
Treads and landing units,6397.0
Sectional products,5478.0
Shaft-lining products,4869.0
Safety cages,4034.0
"Non-rigid sheet, mat and strip covering and finish products",2331.0
Hardware products,2085.0
Formless structure and general products,1399.0
Openings and opening component products,1200.0
Structure and general products,854.0
Retaining wall units,758.0
Support and restraint products,693.0
Structural units,370.0
Services support and containment products,50.0
