,column_name,percent_missing
Unnamed: 0.2,Unnamed: 0.2,0.0
id,id,0.0
title,title,0.0
description,description,0.0
material_state,material_state,0.30909386692695623
category,category,0.0
BIM_class,BIM_class,0.016268098259313486
location,location,0.016268098259313486
date_published,date_published,0.016268098259313486
price_initial,price_initial,0.016268098259313486
price_latest,price_latest,0.016268098259313486
price_change,price_change,0.016268098259313486
imagefiles,imagefiles,0.016268098259313486
material_type,material_type,0.016268098259313486
co2,co2,20.937042459736457
avoided_waste,avoided_waste,20.95331055799577
quantity_initial,quantity_initial,0.016268098259313486
quantity_latest,quantity_latest,0.016268098259313486
disappeared,disappeared,0.016268098259313486
country,country,0.016268098259313486
sold,sold,0.016268098259313486
sold_after,sold_after,0.016268098259313486
city,city,99.98373190174068
deconstruction,deconstruction,99.98373190174068
state,state,97.64112575239955
constraints,constraints,100.0
price,price,0.0
publishDate,publishDate,99.98373190174068
images,images,99.98373190174068
distance,distance,100.0
rseSummary,rseSummary,100.0
promotion,promotion,100.0
source,source,99.98373190174068
conditioning,conditioning,100.0
rate,rate,99.98373190174068
diag_it,diag_it,99.98373190174068
showroom,showroom,99.98373190174068
avoidedWastes,avoidedWastes,99.98373190174068
trustLevel,trustLevel,99.98373190174068
quantity,quantity,99.98373190174068
min_quantity,min_quantity,99.98373190174068
end_date,end_date,99.98373190174068
pickup_start_date,pickup_start_date,99.98373190174068
pickup_end_date,pickup_end_date,99.98373190174068
deposit_mode,deposit_mode,99.98373190174068
date,date,99.98373190174068
object,object,39.71042785098422
material,material,43.87506100536847
dim,dim,91.15015454693346
quantity_n,quantity_n,93.78558646494224
material_emb,material_emb,0.0
French_Raw,French_Raw,28.778265820725558
French_Code,French_Code,28.778265820725558
first_level,first_level,0.0
second_level,second_level,0.0
third_level,third_level,0.0
Length,Length,97.33203188547259
Width,Width,95.86790304213437
Height,Height,95.86790304213437
