,Unnamed: 0.1,Unnamed: 0,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,SoldAfterDays
53,53,53,999FLO979,Batch of grey marble tiles +/- m,585.0,kg,pc,"
The batch contains +/- 83 tiles (+/- 7m2).Dimensions: 30 cm x 30 cm (+/- 5 mm)Thickness: 2 cm (+/-)The mortar has not been removed from the tiles. Some tiles can have chipped edges and corners. There might be scratches on the tiles. Very dusty, needs to be cleaned. 
",Floors,https://rotordc.com/shop/product/999flo979-batch-of-grey-marble-tiles-7-m2-59358?category=34,,239.0,239.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.9081255793571472, 'start': 103, 'end': 110, 'answer': ' mortar'}","{'score': 0.5400547385215759, 'start': 54, 'end': 68, 'answer': ' 30 cm x 30 cm'}","{'score': 0.31525754928588867, 'start': 19, 'end': 32, 'answer': ' +/- 83 tiles'}",Marble,Quarry tiles,Pr_35_93_96_72,"Roof, Slabs, Stairs","Floors, Ceiling","Floor plates, gratings and edgings",4.0
58,58,58,195FLO006,Batch of grey marble tiles +/- m,210.0,kg,pc,"
Batch of grey marble tiles of +/- 5 m2. There are 30 tiles (+/-) in this batch with various sizes. Dimensions: Width: from 14 to 25 cm.Length: from 27 to 70 cm Thickness: 2 cm (+/-)Good used condition. Traces of mortar at the back. Edges could be chipped. A bit dusty needs to be cleaned. Image non contractual, texture and state may varie. Please note we advise interested clients to inspect the product physically before buying.
",Floors,https://rotordc.com/shop/product/195flo006-batch-of-grey-marble-tiles-5m2-59187?category=34,,99.0,99.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.7570556998252869, 'start': 9, 'end': 21, 'answer': ' grey marble'}","{'score': 0.6883594989776611, 'start': 111, 'end': 160, 'answer': '\xa0Width: from 14 to 25 cm.Length: from 27 to 70 cm'}","{'score': 0.39323416352272034, 'start': 50, 'end': 59, 'answer': ' 30 tiles'}",Marble,Quarry tiles,Pr_35_93_96_72,"Roof, Slabs, Stairs","Floors, Ceiling","Floor plates, gratings and edgings",146.0
60,60,60,195FLO004,Batch of grey marble tiles +/- m,270.0,kg,pc,"
Batch of grey marble tiles of +/- 4 m2. There are 9 tiles in this batch. Dimensions: Width: from 40 to 70 cm.Length: from 63 to 70 cm Thickness: 2 cm (+/-)Good used condition. Traces of mortar at the back. Edges could be chipped. A bit dusty needs to be cleaned. Image non contractual, texture and state may varie. Please note we advise interested clients to inspect the product physically before buying.
",Floors,https://rotordc.com/shop/product/195flo004-batch-of-grey-marble-tiles-4m2-59183?category=34,,139.0,139.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.7354812622070312, 'start': 9, 'end': 21, 'answer': ' grey marble'}","{'score': 0.5985864400863647, 'start': 85, 'end': 134, 'answer': '\xa0Width: from 40 to 70 cm.Length: from 63 to 70 cm'}","{'score': 0.42159029841423035, 'start': 50, 'end': 52, 'answer': ' 9'}",Marble,Quarry tiles,Pr_35_93_96_72,"Roof, Slabs, Stairs","Floors, Ceiling","Floor plates, gratings and edgings",146.0
61,61,61,195FLO003,Batch of grey marble tiles +/- m,300.0,kg,pc,"
Batch of grey marble tiles of +/- 3 m2. There are 20 tiles in this batch with various sizes. Dimensions: Width: 25 cm (+/- 1 cm).Length: from 49 to 70 cm Thickness: 2 cm (+/-)Good used condition. Traces of mortar at the back. Edges could be chipped. A bit dusty needs to be cleaned. Image non contractual, texture and state may varie. Please note we advise interested clients to inspect the product physically before buying.
",Floors,https://rotordc.com/shop/product/195flo003-batch-of-grey-marble-tiles-3m2-59181?category=34,,139.0,139.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.7294892072677612, 'start': 9, 'end': 21, 'answer': ' grey marble'}","{'score': 0.18389911949634552, 'start': 105, 'end': 137, 'answer': ' Width: 25 cm (+/- 1 cm).Length:'}","{'score': 0.5038138031959534, 'start': 50, 'end': 53, 'answer': ' 20'}",Marble,Quarry tiles,Pr_35_93_96_72,"Roof, Slabs, Stairs","Floors, Ceiling","Floor plates, gratings and edgings",
1226,1226,1226,999CLA020,"Batch of granite tiles ± , m",875.0,kg,batch,"
Batch of 15 granite tiles from a bank office.Dimensions (may have small variations of ± 0,5cm) : Lengthfrom 99,5 to 100 cmWidth70 cmThickness3 cm Good used condition. Some tiles are bevelled and damaged along the edges (less than 5 cm tolerance). There are some joint marks and holes on the sides from the original fittings (see images). A bit dusty, needs to be cleaned. 
",Floors,https://rotordc.com/shop/product/999cla020-batch-of-granite-tiles-10-5-m2-59919?category=34,"['59919_8a345aa.png', '11312_176679b.png', '11313_176679b.png', '11314_176679b.png']",399.0,399.0,,,,,,,,,,0.0,,2022-12-26,BE,rotordc,fr,0,,"{'score': 0.6173605918884277, 'start': 12, 'end': 20, 'answer': ' granite'}","{'score': 0.7380016446113586, 'start': 97, 'end': 130, 'answer': '\xa0Lengthfrom 99,5 to 100 cmWidth70'}","{'score': 0.4464682638645172, 'start': 9, 'end': 12, 'answer': ' 15'}",Granite,Quarry tiles,Pr_35_93_96_72,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",
1227,1227,1227,999CLA019,"Batch of granite tiles ± , m",830.0,kg,batch,"
Batch of 15 granite tiles from a bank office.Dimensions (may have small variations of ± 0,5cm) : Length84,5 cmWidth78,5 cmThickness3 cm Good used condition. Some tiles are bevelled and damaged along the edges (less than 5 cm tolerance). There are some joint marks and holes on the sides from the original fittings (see images). A bit dusty, needs to be cleaned. 
",Floors,https://rotordc.com/shop/product/999cla019-batch-of-granite-tiles-9-9-m2-59918?category=34,"['59918_6f3575b.png', '11309_440b20e.png', '11310_440b20e.png', '11311_440b20e.png']",399.0,399.0,,,,,,,,,,0.0,,2022-12-26,BE,rotordc,fr,0,,"{'score': 0.6447470188140869, 'start': 12, 'end': 20, 'answer': ' granite'}","{'score': 0.4339197874069214, 'start': 97, 'end': 133, 'answer': '\xa0Length84,5 cmWidth78,5 cmThickness3'}","{'score': 0.473145455121994, 'start': 9, 'end': 12, 'answer': ' 15'}",Granite,Quarry tiles,Pr_35_93_96_72,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",
1228,1228,1228,999CLA018,"Batch of granite tiles ± , m",950.0,kg,batch,"
Batch of 15 granite tiles from a bank office.Dimensions (may have small variations of ± 0,5cm) : Length100 cmWidth78,5 cmThickness3 cm Good used condition. Some tiles are bevelled and damaged along the edges (less than 5 cm tolerance). There are some joint marks and holes on the sides from the original fittings (see images). A bit dusty, needs to be cleaned. 
",Floors,https://rotordc.com/shop/product/999cla018-batch-of-granite-tiles-11-7-m2-59917?category=34,"['59917_765dc44.png', '11306_d903df1.png', '11307_6abd643.png', '11308_6abd643.png']",449.0,449.0,,,,,,,,,,0.0,,2022-12-26,BE,rotordc,fr,0,,"{'score': 0.6453694105148315, 'start': 12, 'end': 20, 'answer': ' granite'}","{'score': 0.3712790608406067, 'start': 97, 'end': 132, 'answer': '\xa0Length100 cmWidth78,5 cmThickness3'}","{'score': 0.4687047600746155, 'start': 9, 'end': 12, 'answer': ' 15'}",Granite,Quarry tiles,Pr_35_93_96_72,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",
1229,1229,1229,999CLA017,"Batch of granite tiles ± , m",920.0,kg,batch,"
Batch of 15 granite tiles from a bank office.Dimensions (may have small variations of ± 0,5cm) : Length100 cmWidthfrom 70 to 72,7 cmThickness3 cm Good used condition. Some tiles are bevelled and damaged along the edges (less than 5 cm tolerance). There are some joint marks and holes on the sides from the original fittings (see images). A bit dusty, needs to be cleaned. 
",Floors,https://rotordc.com/shop/product/999cla017-batch-of-granite-tiles-10-5-m2-59916?category=34,"['59916_3c793c1.png', '11303_775e06c.png', '11304_775e06c.png', '11305_775e06c.png']",399.0,399.0,,,,,,,,,,0.0,,2022-12-26,BE,rotordc,fr,0,,"{'score': 0.6037521362304688, 'start': 12, 'end': 20, 'answer': ' granite'}","{'score': 0.5316565632820129, 'start': 97, 'end': 143, 'answer': '\xa0Length100 cmWidthfrom 70 to 72,7 cmThickness3'}","{'score': 0.472920686006546, 'start': 9, 'end': 12, 'answer': ' 15'}",Granite,Quarry tiles,Pr_35_93_96_72,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",
1230,1230,1230,999CLA016,"Batch of granite tiles ± , m",650.0,kg,batch,"
Batch of 12 granite tiles from a bank office.Dimensions (may have small variations of ± 0,5cm) : Lengthfrom 96 to 100 cmWidthfrom 68 to 70 cmThickness3 cm Good used condition. Some tiles are bevelled and damaged along the edges (less than 5 cm tolerance). There are some joint marks and holes on the sides from the original fittings (see images). A bit dusty, needs to be cleaned. 
",Floors,https://rotordc.com/shop/product/999cla016-batch-of-granite-tiles-7-8-m2-59915?category=34,"['59915_8246a50.png', '11297_14b05dc.png', '11298_14b05dc.png', '11299_14b05dc.png']",249.0,249.0,,,,,,,,,,0.0,,2022-12-26,BE,rotordc,fr,0,,"{'score': 0.6284269094467163, 'start': 12, 'end': 20, 'answer': ' granite'}","{'score': 0.5741679072380066, 'start': 97, 'end': 130, 'answer': '\xa0Lengthfrom 96 to 100 cmWidthfrom'}","{'score': 0.4786117374897003, 'start': 9, 'end': 12, 'answer': ' 12'}",Granite,Quarry tiles,Pr_35_93_96_72,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",
1231,1231,1231,999CLA015,Batch of granite tiles ± m,920.0,kg,batch,"
Batch of 13 granite tiles from a bank office.Dimensions (may have small variations of ± 0,5cm) : Lengthfrom 100 to 102,5 cmWidthfrom 85 to 89 cmThickness3 cm Good used condition. Some tiles are bevelled and damaged along the edges (less than 5 cm tolerance). There are some joint marks and holes on the sides from the original fittings (see images). A bit dusty, needs to be cleaned. 
",Floors,https://rotordc.com/shop/product/999cla015-batch-of-granite-tiles-11-m2-59914?category=34,"['59914_8d3a9b8.png', '11295_a43aece.png', '11296_a43aece.png']",399.0,399.0,,,,,,,,,,0.0,,2022-12-26,BE,rotordc,fr,0,,"{'score': 0.6239767074584961, 'start': 12, 'end': 20, 'answer': ' granite'}","{'score': 0.632173478603363, 'start': 97, 'end': 133, 'answer': '\xa0Lengthfrom 100 to 102,5 cmWidthfrom'}","{'score': 0.45699286460876465, 'start': 9, 'end': 12, 'answer': ' 13'}",Granite-powder cement,Quarry tiles,Pr_35_93_96_72,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",
