,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,quantity_score,Length,Width,Height,SoldAfterDays
539,164SAN0016,Salmon ' pedestal bathroom sink ca .,30.0,kg,pc,"
Salmon' pedestal bathroom sink with overflow and tap hole. From an old overstock, never used.
Quite dusty, needs to be cleaned. May have a few traces of old stickers that can be easily removed.

Dimensions: W 69,5 cm x D 58,5 cm

Pedestal Height: 64,5 cm
Total Height: 86 cm
Drain diameter: 4,5 cm

 
",Per building,https://rotordc.com/shop/product/164san0016-salmon-pedestal-bathroom-sink-ca-1970-49003?category=43,,119.0,119.0,,,,,,,,,2022-08-04,0.0,,2022-08-02,BE,rotordc,fr,1,2.0,"{'score': 0.001690023229457438, 'start': 1, 'end': 8, 'answer': ""Salmon'""}","{'score': 0.5196662545204163, 'start': 207, 'end': 229, 'answer': ' W 69,5 cm x D 58,5 cm'}","{'score': 0.2321753352880478, 'start': 71, 'end': 82, 'answer': ' overstock,'}",Water,Sinks,Pr_40_20_96_81,Other,Other,Headwall and swale inlet products,0.2321753352880478,,,,2.0
540,164SAN0011,Eggplant pedestal bathroom sink ca .,31.0,kg,pc,"
Eggplant pedestal bathroom sink with overflow tap hole from an old overstock.
Never used but quite dusty, needs to be cleaned. May have a few traces of old stickers that can be easily removed.

Dimensions: W 69 cm x D 58 cm

Pedestal Height: 64 cm
Total Height: 85 cm
Drain diameter: 5 cm

 
",Per building,https://rotordc.com/shop/product/164san0011-eggplant-pedestal-bathroom-sink-ca-1970-48999?category=43,,119.0,119.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.018687115982174873, 'start': 1, 'end': 9, 'answer': 'Eggplant'}","{'score': 0.5763277411460876, 'start': 206, 'end': 224, 'answer': ' W 69 cm x D 58 cm'}","{'score': 0.0025466408114880323, 'start': 67, 'end': 78, 'answer': ' overstock.'}",Sitka spruce,Sinks,Pr_40_20_96_81,Other,Other,Headwall and swale inlet products,0.0025466408114880323,,,,146.0
550,117SAN001,Oval white sink ca .,155.0,kg,pc,"
52*47*25 cm
General good condition, some cleaning might be needed.

Water faucet and knobs not included.
",Per building,https://rotordc.com/shop/product/117san001-oval-white-sink-ca-1970-49049?page=5&category=43,,39.0,39.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 1.0603400113495809e-07, 'start': 12, 'end': 36, 'answer': '\nGeneral good condition,'}","{'score': 0.7086830735206604, 'start': 1, 'end': 12, 'answer': '52*47*25 cm'}","{'score': 0.15889371931552887, 'start': 1, 'end': 12, 'answer': '52*47*25 cm'}",Sitka spruce,Sinks,Pr_40_20_96_81,Other,"Floors, Ceiling",Headwall and swale inlet products,0.15889371931552887,,,,146.0
558,999SAN321,Bathroom sink,155.0,kg,pc,"
Approximate dimensions: 59 cm x 51 cm x 19 cm

Used, in good condition. Needs a bit of cleaning, but no stains of rust or damage.
Tap is included but has not been tested.
",Per building,https://rotordc.com/shop/product/999san321-bathroom-sink-49013?page=6&category=43,,19.0,19.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 1.5837284763620119e-06, 'start': 101, 'end': 130, 'answer': ' no stains of rust or damage.'}","{'score': 0.9690138101577759, 'start': 24, 'end': 46, 'answer': ' 59 cm x 51 cm x 19 cm'}","{'score': 0.0005420350353233516, 'start': 24, 'end': 27, 'answer': ' 59'}",Ultrapure water,Sinks,Pr_40_20_96_81,Other,Other,Headwall and swale inlet products,0.0005420350353233516,,,,
559,164SAN0030,Light salmon pedestal bathroom sink ca .,22.0,kg,pc,"
Light salmon pedestal bathroom sink (ca. 1970) with overflow and tap hole from an old overstock.
Never used but quite dusty, needs to be cleaned. May have a few traces of old stickers that can be easily removed.

Dimensions: W 67 cm x D 52 cm x H 14 cm

Total Height: 82 cm
Drain diameter: 4,5 cm
",Per building,https://rotordc.com/shop/product/164san0030-light-salmon-pedestal-bathroom-sink-ca-1970-49012?page=6&category=43,,119.0,119.0,,,,,,,,,2022-10-28,0.0,,2022-08-02,BE,rotordc,fr,1,87.0,"{'score': 0.28914526104927063, 'start': 6, 'end': 13, 'answer': ' salmon'}","{'score': 0.6428332328796387, 'start': 225, 'end': 253, 'answer': ' W 67 cm x D 52 cm x H 14 cm'}","{'score': 0.0002743439981713891, 'start': 86, 'end': 97, 'answer': ' overstock.'}",Water,Sinks,Pr_40_20_96_81,Other,Other,Headwall and swale inlet products,0.0002743439981713891,,,,87.0
560,164SAN0019,Chocolate ' pedestal bathroom sink ca .,35.0,kg,pc,"
Chocolate' pedestal bathroom sink (ca. 1970) with overflow and tap hole from an old overstock.
Never used but quite dusty, needs to be cleaned. May have a few traces of old stickers that can be easily removed.

Dimensions: W 67,5 cm x D 60 cm

Pedestal Height: 60 cm
Total Height: 83,5 cm
Drain diameter: 4,5 cm

 
",Per building,https://rotordc.com/shop/product/164san0019-chocolate-pedestal-bathroom-sink-ca-1970-49006?page=6&category=43,,119.0,119.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.0015554636484012008, 'start': 1, 'end': 11, 'answer': ""Chocolate'""}","{'score': 0.1876443773508072, 'start': 223, 'end': 243, 'answer': ' W 67,5 cm x D 60 cm'}","{'score': 3.1076713639777154e-05, 'start': 84, 'end': 95, 'answer': ' overstock.'}",Porcelain,Sinks,Pr_40_20_96_81,Other,Other,Other,3.1076713639777154e-05,,,,4.0
561,148SAN001,Bathroom sink,15.0,kg,pc,"
Approximate dimensions: 60 cm x 46 cm x 19 cm

Used, in good condition. Needs a bit of cleaning, but no stains of rust or damage.

An extra cleaning can be ordered for an additional fee.
",Per building,https://rotordc.com/shop/product/148san001-bathroom-sink-48995?page=6&category=43,,39.0,39.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 2.0688376025645994e-06, 'start': 47, 'end': 72, 'answer': '\nUsed, in good condition.'}","{'score': 0.9728046655654907, 'start': 24, 'end': 46, 'answer': ' 60 cm x 46 cm x 19 cm'}","{'score': 0.0016030182596296072, 'start': 24, 'end': 27, 'answer': ' 60'}",Ultrapure water,Sinks,Pr_40_20_96_81,Other,Other,Headwall and swale inlet products,0.0016030182596296072,,,,
580,999SAN861,Bathroom sink,20.0,kg,pc,"
Bathroom sink in ceramic with overflow. Used to be on a pedestal but it was broken. There can be 2 taps added to the sink. Width: 58 cm Depth: 46 cm Bowl Height: 16 cm Drain diameter: 3,5 cm Good used condition, may  have a few scratches and very small chips. Quite dusty, with traces of limescale in the bowl. Needs to be cleaned.
",Sanitary,https://rotordc.com/shop/product/999san861-bathroom-sink-59054?category=45,,39.0,39.0,,,,,,,,,2022-10-28,0.0,,2022-08-02,BE,rotordc,fr,1,87.0,"{'score': 0.42439326643943787, 'start': 17, 'end': 25, 'answer': ' ceramic'}","{'score': 0.3535372018814087, 'start': 123, 'end': 149, 'answer': '\xa0Width: 58 cm\xa0Depth: 46 cm'}","{'score': 0.0002365039399592206, 'start': 97, 'end': 99, 'answer': ' 2'}",Ultrapure water,Sinks,Pr_40_20_96_81,Other,Other,Headwall and swale inlet products,0.0002365039399592206,,,,87.0
582,999SAN857,Bathroom sink,17.0,kg,pc,"
Bathroom sink in ceramic. Dimensions :Width : 55,5 cmDepth :  47 cmBowl height : 16 cmDraw diameter : 4.5 cmGood used condition. May have traces of limescale in the bowl and possible traces of joint on the back side. A bit dusty, needs to be cleaned. There is an overflow. Tap is included in the price but has not been tested and do not come with a warranty. 
",Sanitary,https://rotordc.com/shop/product/999san857-bathroom-sink-59041?category=45,,49.0,49.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.6419985294342041, 'start': 17, 'end': 26, 'answer': ' ceramic.'}","{'score': 0.36865541338920593, 'start': 37, 'end': 72, 'answer': ' :Width : 55,5 cmDepth : \xa047 cmBowl'}","{'score': 0.0030855415388941765, 'start': 273, 'end': 302, 'answer': '\xa0Tap is included in the price'}",Ultrapure water,Sinks,Pr_40_20_96_81,Other,Other,Headwall and swale inlet products,0.0030855415388941765,,,,146.0
585,999SAN856,Bathroom sink,15.0,kg,pc,"
White bathroom sink in ceramic with overflow. Taps and pipework are included in the price but have not been tested. Sold without brackets. Width: 50 cm Depth: 36 cm Height: 40 cm Bowl Height: 11 cm Drain diameter: 3 cm Good used condition, may only have a few scratches and very small chips. Quite dusty, with traces of limescale in the bowl and possible traces of joint on the back side. Needs to be cleaned. 
",Sanitary,https://rotordc.com/shop/product/999san856-bathroom-sink-59038?page=2&category=45,,59.0,59.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.6946132779121399, 'start': 23, 'end': 31, 'answer': ' ceramic'}","{'score': 0.33344244956970215, 'start': 139, 'end': 179, 'answer': ' Width: 50 cm Depth: 36 cm Height: 40 cm'}","{'score': 0.0005158479907549918, 'start': 116, 'end': 139, 'answer': ' Sold without brackets.'}",Ultrapure water,Sinks,Pr_40_20_96_81,Other,Other,Headwall and swale inlet products,0.0005158479907549918,,,,146.0
