,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,quantity_score,Length,Width,Height,SoldAfterDays
48,194FLO002,Red ceramic tiles x mm,23.0,kg,m2,"
Red ceramic tiles. Dimensions: 100 mm x 100 mm (+/- 1 mm variation)Thickness: 10 mm (+/-)Sold per square meter.The mortar has been completely removed using an acid bath (the tile itself is insensitive to acids). Ready for installation, A quality (chip tolerance along edges: less than 5 mm). Tiles are a bit dirty/dusty so plan for a scrubbing with water and soap after installation. 
",Floors,https://rotordc.com/shop/product/194flo002-red-ceramic-tiles-100-x-100-mm-59361?category=34,,69.0,69.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.39767155051231384, 'start': 1, 'end': 19, 'answer': 'Red ceramic tiles.'}","{'score': 0.879716157913208, 'start': 31, 'end': 47, 'answer': ' 100 mm x 100 mm'}","{'score': 0.00965629518032074, 'start': 84, 'end': 115, 'answer': ' (+/-)Sold per square meter.The'}",Ceramic,Ceramic tiles,Pr_35_93_96_19,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,0.00965629518032074,,,,146.0
49,196FLO006,Batch of red ceramic tiles 'Douzies Maubeuge ' x mm - m,780.0,kg,pc,"
Red ceramic tiles batch of +/- 30 m2. Dimensions: 100 mm x 100 mm (+/- 1 mm)Thickness: 8 mm (+/-) The mortar has been completely removed using an acid bath (the tile itself is insensitive to acids). Ready for installation, A quality (chip tolerance along edges: less than 5 mm). Tiles are a bit dirty/dusty so plan for a scrubbing with water and soap after installation. 
",Floors,https://rotordc.com/shop/product/196flo006-batch-of-red-ceramic-tiles-douzies-maubeuge-100-x-100-mm-30-m2-59365?category=34,,1650.0,1650.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.3955014646053314, 'start': 1, 'end': 18, 'answer': 'Red ceramic tiles'}","{'score': 0.7125149965286255, 'start': 50, 'end': 66, 'answer': ' 100 mm x 100 mm'}","{'score': 0.4305398762226105, 'start': 31, 'end': 38, 'answer': ' 30 m2.'}",Ceramic,Ceramic tiles,Pr_35_93_96_19,Other,"Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",0.4305398762226105,,,,4.0
50,196FLO005,Batch of red ceramic tiles x mm - m,180.0,kg,batch,"
Red ceramic tiles batch of +/- 7 m2. Dimensions: 100 mm x 100 mm (+/- 1 mm)Thickness: 8 mm (+/-) The mortar has been completely removed using an acid bath (the tile itself is insensitive to acids). Ready for installation, A quality (chip tolerance along edges: less than 5 mm). Tiles are a bit dirty/dusty so plan for a scrubbing with water and soap after installation. 
",Floors,https://rotordc.com/shop/product/196flo005-batch-of-red-ceramic-tiles-100-x-100-mm-7-m2-59364?category=34,,385.0,385.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.39635923504829407, 'start': 1, 'end': 12, 'answer': 'Red ceramic'}","{'score': 0.7173537611961365, 'start': 49, 'end': 65, 'answer': ' 100 mm x 100 mm'}","{'score': 0.31042712926864624, 'start': 31, 'end': 37, 'answer': ' 7 m2.'}",Ceramic,Ceramic tiles,Pr_35_93_96_19,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",0.31042712926864624,,,,4.0
51,196FLO004,Batch of red ceramic tiles 'Mosa Holland ' x mm - m,260.0,kg,batch,"
Red ceramic tiles batch of +/- 22 m2. Dimensions: 100 mm x 100 mm (+/- 1 mm)Thickness: 8 mm (+/-) The mortar has been completely removed using an acid bath (the tile itself is insensitive to acids). Ready for installation, A quality (chip tolerance along edges: less than 5 mm). Tiles are a bit dirty/dusty so plan for a scrubbing with water and soap after installation. 
",Floors,https://rotordc.com/shop/product/196flo004-batch-of-red-ceramic-tiles-mosa-holland-100-x-100-mm-22-m2-59363?category=34,,1210.0,1210.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.3944920003414154, 'start': 1, 'end': 18, 'answer': 'Red ceramic tiles'}","{'score': 0.7277830839157104, 'start': 50, 'end': 66, 'answer': ' 100 mm x 100 mm'}","{'score': 0.37574249505996704, 'start': 31, 'end': 38, 'answer': ' 22 m2.'}",Ceramic,Ceramic tiles,Pr_35_93_96_19,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",0.37574249505996704,,,,4.0
52,196FLO003,Batch of red ceramic tiles 'West Germany ' x mm - m,200.0,kg,batch,"
Red ceramic tiles batch of +/- 9 m2. Dimensions: 100 mm x 100 mm (+/- 1 mm)Thickness: 6 mm (+/-) The mortar has been completely removed using an acid bath (the tile itself is insensitive to acids). Ready for installation, A quality (chip tolerance along edges: less than 5 mm). Tiles are a bit dirty/dusty so plan for a scrubbing with water and soap after installation. 
",Floors,https://rotordc.com/shop/product/196flo003-batch-of-red-ceramic-tiles-west-germany-100-x-100-mm-9-m2-59362?category=34,,495.0,495.0,,,,,,,,,2022-10-28,0.0,,2022-08-02,BE,rotordc,fr,1,87.0,"{'score': 0.3883569538593292, 'start': 1, 'end': 12, 'answer': 'Red ceramic'}","{'score': 0.7091269493103027, 'start': 49, 'end': 65, 'answer': ' 100 mm x 100 mm'}","{'score': 0.3028462529182434, 'start': 31, 'end': 37, 'answer': ' 9 m2.'}",Ceramic,Ceramic tiles,Pr_35_93_96_19,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",0.3028462529182434,,,,87.0
62,196FLO001,Red ceramic tiles x mm,23.0,kg,m2,"
Red ceramic tiles. Dimensions: 100 mm x 100 mm (+/- 1 mm)Thickness: 10 mmSold per square meter.The mortar has been completely removed using an acid bath (the tile itself is insensitive to acids). Ready for installation, A quality (chip tolerance along edges: less than 5 mm). Tiles are a bit dirty/dusty so plan for a scrubbing with water and soap after installation. As we are still in the process of cleaning this large batch of tiles we salvaged, a delay of more than two weeks may be possible to prepare your order. Please contact us for more information.
",Floors,https://rotordc.com/shop/product/196flo001-red-ceramic-tiles-100-x-100-mm-58994?category=34,,69.0,69.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.38432759046554565, 'start': 1, 'end': 19, 'answer': 'Red ceramic tiles.'}","{'score': 0.7561138868331909, 'start': 31, 'end': 47, 'answer': ' 100 mm x 100 mm'}","{'score': 0.0020943917334079742, 'start': 71, 'end': 99, 'answer': ' mmSold per square meter.The'}",Ceramic,Ceramic tiles,Pr_35_93_96_19,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,0.0020943917334079742,,,,146.0
66,184FLO002,Anti slip ceramic floor tiles by Royal Mosa Holland x mm,16.0,kg,m2,"
Textured ceramic floor tiles by Royal Mosa Holland. Dry-pressed ceramic tiles for internal and external walls and floorings.Dimensions :145 x 145 mmThickness : 5 mm1 m2 = +/- 48 tilesNever used. From an overstock. May have some imperfections due to storage and transport. A bit dusty, needs to be cleaned.
",Floors,https://rotordc.com/shop/product/184flo002-anti-slip-ceramic-floor-tiles-by-royal-mosa-holland-145-x-145-mm-56058?category=34,,17.0,17.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.12825658917427063, 'start': 1, 'end': 29, 'answer': 'Textured ceramic floor tiles'}","{'score': 0.9170562028884888, 'start': 135, 'end': 158, 'answer': ' :145 x 145 mmThickness'}","{'score': 0.2460481822490692, 'start': 175, 'end': 189, 'answer': ' 48 tilesNever'}",Ceramic,Ceramic tiles,Pr_35_93_96_19,"Roof, Slabs, Stairs","Floors, Ceiling","Floor plates, gratings and edgings",0.2460481822490692,,,,4.0
67,999FLO156,Batch of ceramic floor tiles Wasserbilig ' +/- sqm,219.0,kg,batch,"
Batch of ceramic floor tiles 'CGCB Wasserbilig '.

4 elements :

Octogonal tile :

Dimensions : 20 x 12 cm
Thickness : 1,4 cm
Quantity : 109 pieces

Small tile with geometric shape

Dimensions : 12 x 4 cm
Thickness : 1,4 cm
Quantity : 228 pieces

Brown tile

Dimensions : 15,2 x 7,6 cm
Thickness : 1,4 cm
Quantity : 96 pieces

Square tile :

Dimensions : 15,1 x 15,1 cm
Thickness : 1,4 cm
Quantity : 62 pieces

Good used condition. May have some scratches and imperfections. Colour may varies from a tile to another. The mortar is completely removed using an acid bath (the tile itself is insensitive to acids). Ready for installation, chip tolerance less than 5 mm. A bit dusty, needs to be cleaned.

Please note ! There is +/- 4 sqm but some octagonal tiles need to be recut in order to complete the frise (as picture).

 

 
",Floors,https://rotordc.com/shop/product/999flo156-batch-of-ceramic-floor-tiles-cgcb-wasserbilig-4-sqm-55761?category=34,,289.0,289.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.26551467180252075, 'start': 9, 'end': 17, 'answer': ' ceramic'}","{'score': 0.020183807238936424, 'start': 96, 'end': 107, 'answer': ' 20 x 12 cm'}","{'score': 0.06604667752981186, 'start': 137, 'end': 148, 'answer': ' 109 pieces'}",Ceramic,Ceramic tiles,Pr_35_93_96_19,"Roof, Slabs, Stairs","Floors, Ceiling","Floor plates, gratings and edgings",0.06604667752981186,,,,
70,999FLO149,Speckled grey and dark red ceramic floor tiles mm,30.0,kg,m2,"
Speckled grey and dark red floor tiles, sold per sqm.

Dimensions: 138 mm x 138 mm (+- 1 mm)
Thickness: +/- 12 mm
1 sqm = 51 tiles

The mortar is completely removed using an acid bath (the tile itself is insensitive to acids).
Ready for installation, chip tolerance less than 5 mm. Tiles are a bit dirty but can be easily cleaned with brush and soap after installation.
Colour may slightly vary from a tile to another due to fabrication dates.
",Floors,https://rotordc.com/shop/product/999flo149-speckled-grey-and-dark-red-ceramic-floor-tiles-138-mm-36579?page=2&category=34,,74.0,589.0,,,,,,,,,,515.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.24435365200042725, 'start': 136, 'end': 143, 'answer': ' mortar'}","{'score': 0.7238429188728333, 'start': 67, 'end': 83, 'answer': ' 138 mm x 138 mm'}","{'score': 0.4848209321498871, 'start': 122, 'end': 125, 'answer': ' 51'}",Ceramic,Ceramic tiles,Pr_35_93_96_19,"Roof, Slabs, Stairs","Floors, Ceiling","Floor plates, gratings and edgings",0.4848209321498871,,,,
71,999FLO001,Ceramic tiles for opus incertum,40.0,kg,m2,"
Consists of tiles that were damaged in the demount or cleaning process. They can be used kept in one piece, in a traditional pattern with a more rustique look, or they can be broken and used in a ""trencadis"" floor applications. Also very beautiful for table and bar tops.

The tiles are clean from any mortar. Available colours depend on what we are processing that moment. Only on sale in our physical shop.

For installation, use of a (thicker) mortar layer is preferable over the use of a thinner tile glue. Because tile glue is only 1 to 2mm thick, it does not allow for the evening out of tiles of different thicknesses. If only tiles of the exact same thickness are used, glue could be feasible.

 

Image: Moor & Moor grocery store by Doorzon Architects (Ghent)
",Floors,https://rotordc.com/shop/product/999flo001-ceramic-tiles-for-opus-incertum-36551?page=2&category=34,,29.0,29.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.21730777621269226, 'start': 519, 'end': 529, 'answer': ' tile glue'}","{'score': 5.383520829127519e-07, 'start': 537, 'end': 546, 'answer': ' 1 to 2mm'}","{'score': 0.00026215531397610903, 'start': 97, 'end': 108, 'answer': ' one piece,'}",Ceramic,Ceramic tiles,Pr_35_93_96_19,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",0.00026215531397610903,,,,
