,Unnamed: 0.1,Unnamed: 0,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,SoldAfterDays
541,541,541,164SAN0010,Blue pedestal bathroom sink ca .,31.0,kg,pc,"
Blue pedestal bathroom sink with an overflow from an old overstock. Without water tap hole 
Never used but quite dusty, needs to be cleaned.

Dimensions: W 69 cm x D 58 cm

Pedestal Height: 64 cm
Total Height: 86,5 cm
Drain diameter: 5 cm

 
",Per building,https://rotordc.com/shop/product/164san0010-blue-pedestal-bathroom-sink-ca-1970-48998?category=43,,119.0,119.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.029968710616230965, 'start': 1, 'end': 5, 'answer': 'Blue'}","{'score': 0.65752112865448, 'start': 154, 'end': 172, 'answer': ' W 69 cm x D 58 cm'}","{'score': 0.0029211086221039295, 'start': 57, 'end': 68, 'answer': ' overstock.'}",Water,Bathroom cabinets,Pr_40_30_87_03,Other,Other,Headwall and swale inlet products,
589,589,589,999SAN797X,Bathroom sink in ceramic,15.0,kg,pc,"
Bathroom sink in ceramic.Dimensions :Width: 59 cmDepth:  44 cmBowl Height: 15 cmDrain diameter: 4.5 cmType :With holeWithout hole : there is pre-hole (as picture)
",Sanitary,https://rotordc.com/shop/product/bathroom-sink-in-ceramic-58814?page=2&category=45,,39.0,39.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.30535975098609924, 'start': 17, 'end': 36, 'answer': ' ceramic.Dimensions'}","{'score': 0.32503217458724976, 'start': 36, 'end': 67, 'answer': ' :Width: 59 cmDepth: \xa044 cmBowl'}","{'score': 0.0011345488019287586, 'start': 107, 'end': 130, 'answer': ' :With holeWithout hole'}",Porcelain,Bathroom cabinets,Pr_40_30_87_03,Other,Other,Headwall and swale inlet products,
594,594,594,999SAN796,Bathroom sink in ceramic by Sphinx .,15.0,kg,pc,"
Bathroom sink in ceramic 'Sphinx'.

Dimensions :

Width: 61 cm
Depth: 47 cm
Height: 16 cm
Bowl Height: 14 cm
Drain diameter: 4.5 cm

Good used conditions. May have minor scratches. No tap hole. Model without brackets.
",Sanitary,https://rotordc.com/shop/product/999san796-bathroom-sink-in-ceramic-by-sphinx-55857?page=2&category=45,,39.0,39.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.9111319780349731, 'start': 17, 'end': 25, 'answer': ' ceramic'}","{'score': 0.3106289207935333, 'start': 50, 'end': 76, 'answer': '\nWidth: 61 cm\nDepth: 47 cm'}","{'score': 4.485120825847844e-06, 'start': 50, 'end': 63, 'answer': '\nWidth: 61 cm'}",Porcelain,Bathroom cabinets,Pr_40_30_87_03,Other,Other,Headwall and swale inlet products,4.0
596,596,596,999SAN801,Bathroom sink in ceramic - Camel,20.0,kg,pc,"
Bathroom sink in ceramic.

Dimensions :

Width: 61 cm
Depth: 48.5 cm
Bowl Height: 17 cm
Drain diameter: 5 cm

There are some scratches. Broken tap, needs to be removed. Sold without brackets.
",Sanitary,https://rotordc.com/shop/product/999san801-bathroom-sink-in-ceramic-camel-55854?page=2&category=45,,79.0,79.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.42840486764907837, 'start': 17, 'end': 26, 'answer': ' ceramic.'}","{'score': 0.4350200593471527, 'start': 41, 'end': 69, 'answer': '\nWidth: 61 cm\nDepth: 48.5 cm'}","{'score': 0.0030180911999195814, 'start': 169, 'end': 192, 'answer': ' Sold without brackets.'}",Porcelain,Bathroom cabinets,Pr_40_30_87_03,Other,Other,Headwall and swale inlet products,4.0
597,597,597,999SAN803,Bathroom sink in ceramic,10.0,kg,pc,"
Bathroom sink in ceramic.

Dimensions :

Width: 52 cm
Depth: 44 cm
Bowl Height: 16 cm
Drain diameter: 4.5 cm

There are some scratches, especially under the sink. Sold without brackets and taps.

Made in Uruguay.
",Sanitary,https://rotordc.com/shop/product/999san803-bathroom-sink-in-ceramic-55853?page=2&category=45,,39.0,39.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.22837381064891815, 'start': 17, 'end': 26, 'answer': ' ceramic.'}","{'score': 0.46377551555633545, 'start': 41, 'end': 67, 'answer': '\nWidth: 52 cm\nDepth: 44 cm'}","{'score': 3.201788274509454e-07, 'start': 168, 'end': 195, 'answer': ' without brackets and taps.'}",Porcelain,Bathroom cabinets,Pr_40_30_87_03,Other,Other,Headwall and swale inlet products,4.0
598,598,598,999SAN804,Bathroom sink in ceramic - Beige,15.0,kg,pc,"
Bathroom sink in ceramic - Beige.

Dimensions :

Width: 65 cm
Depth: 46.5 cm
Bowl Height: 20 cm
Drain diameter: 4 cm

May have some scratches and chips. Broken piping system, needs to be removed. Sold without brackets.
",Sanitary,https://rotordc.com/shop/product/999san804-bathroom-sink-in-ceramic-beige-55852?page=2&category=45,,59.0,59.0,,,,,,,,,2022-10-28,0.0,,2022-08-02,BE,rotordc,fr,1,87.0,"{'score': 0.15142656862735748, 'start': 17, 'end': 34, 'answer': ' ceramic - Beige.'}","{'score': 0.45276886224746704, 'start': 49, 'end': 77, 'answer': '\nWidth: 65 cm\nDepth: 46.5 cm'}","{'score': 0.0027361419051885605, 'start': 196, 'end': 219, 'answer': ' Sold without brackets.'}",Porcelain,Bathroom cabinets,Pr_40_30_87_03,Other,Other,Headwall and swale inlet products,87.0
607,607,607,999SAN807,Ceramic bathroom sink by Standard,15.5,kg,pc,"
Dimensions : 58,5 cm x 45 cm

Wall attachment not included.

Condition : good used condition, a few paint splatters that can easily be removed
(taps not included)
",Sanitary,https://rotordc.com/shop/product/999san807-ceramic-bathroom-sink-by-standard-34471?page=4&category=45,,79.0,79.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.0009223553934134543, 'start': 100, 'end': 106, 'answer': ' paint'}","{'score': 0.9683233499526978, 'start': 13, 'end': 29, 'answer': ' 58,5 cm x 45 cm'}","{'score': 0.04313867539167404, 'start': 13, 'end': 29, 'answer': ' 58,5 cm x 45 cm'}",Porcelain,Bathroom cabinets,Pr_40_30_87_03,Other,Other,Headwall and swale inlet products,
608,608,608,999SAN305,Ceramic bathroom sink by norm,15.5,kg,pc,"
Width: 44 cm
Depth: 60 cm

Wall hung, very good state.
",Sanitary,https://rotordc.com/shop/product/999san305-ceramic-bathroom-sink-by-norm-34470?page=4&category=45,,68.99,68.99,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 5.4196743803913705e-06, 'start': 38, 'end': 55, 'answer': ' very good state.'}","{'score': 0.3434903919696808, 'start': 1, 'end': 26, 'answer': 'Width: 44 cm\nDepth: 60 cm'}","{'score': 0.0026595250237733126, 'start': 1, 'end': 13, 'answer': 'Width: 44 cm'}",Porcelain,Bathroom cabinets,Pr_40_30_87_03,Other,Other,Sanitary fittings and accessories,
609,609,609,908SAN103,Bathroom sink with brackets,15.5,kg,pc,"
Approximate dimensions: 60 cm x 50 cm x 20 cm

Used, in good condition. Needs a bit of cleaning, but no stains of rust or damage.
Brackets in casted aluminium.

An extra cleaning can be ordered for an additional fee.
",Sanitary,https://rotordc.com/shop/product/908san103-bathroom-sink-with-brackets-34353?page=4&category=45,,39.0,39.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.045728400349617004, 'start': 142, 'end': 160, 'answer': ' casted aluminium.'}","{'score': 0.9650540947914124, 'start': 24, 'end': 46, 'answer': ' 60 cm x 50 cm x 20 cm'}","{'score': 0.0021777483634650707, 'start': 24, 'end': 46, 'answer': ' 60 cm x 50 cm x 20 cm'}",Sitka spruce,Bathroom cabinets,Pr_40_30_87_03,Other,Other,Sanitary fittings and accessories,146.0
610,610,610,155SAN008,Bathroom sink by Villeroy & Boch,9.0,kg,pc,"
Approximate dimensions: ⌀ 43,2 cm x 17,8 cm

Good used condition, may have traces of scratches. Needs a bit of cleaning.
Kit for mounting on a horizontal surface included.

New price +- 240€/ pc.

 

 
",Sanitary,https://rotordc.com/shop/product/155san008-bathroom-sink-by-villeroy-boch-34330?page=4&category=45,,79.0,79.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 8.75410987646319e-05, 'start': 24, 'end': 26, 'answer': ' ⌀'}","{'score': 0.9448063373565674, 'start': 26, 'end': 44, 'answer': ' 43,2 cm x 17,8 cm'}","{'score': 0.0012147579109296203, 'start': 186, 'end': 196, 'answer': ' 240€/ pc.'}",Sitka spruce,Bathroom cabinets,Pr_40_30_87_03,Other,Other,Sanitary fittings and accessories,4.0
