,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,quantity_score,Length,Width,Height,SoldAfterDays
472,122LIG240,Hanging light 'Jelena ' in textured glass,0.5,kg,pc,"
Height: 15 cm
Socket: E27

While the glass is vintage, the electrical components and cable have been entirely renewed. Price includes 1,2m textile cable and metallic ceiling cap. Other cable colours available on request.
",Lighting,https://rotordc.com/shop/product/122lig240-hanging-light-jelena-in-textured-glass-54402?page=5&category=39,,34.0,44.0,,,,,,,,,,10.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.6748471260070801, 'start': 139, 'end': 147, 'answer': ' textile'}","{'score': 0.36094677448272705, 'start': 1, 'end': 14, 'answer': 'Height: 15 cm'}","{'score': 0.16853052377700806, 'start': 134, 'end': 139, 'answer': ' 1,2m'}",Coloured glass,Glass brise-soleil louvre blades,Pr_30_59_09_33,Other,Other,Glass blocks and panels,0.16853052377700806,,,,
998,203LIG045,Wall light 'Very Well ' with transparent glass beads by Belux,1.6,kg,pc,"
Wall light 'Very Well' in metal and transparent glass beads by Belux. Height28 cmLength8.5 cmWidth25 cm SocketE14The fitting and electric system are entirely renewed. New. From overstock. Dusty, needs to be cleaned. Bulb is not included in the price.
",Lighting,https://rotordc.com/shop/product/203lig045-wall-light-very-well-with-transparent-glass-beads-by-belux-59820?page=2&category=39,"['59820_80369e0.png', '10904_d01c1ad.png', '10905_d01c1ad.png', '10906_d01c1ad.png', '10907_d01c1ad.png']",119.0,119.0,,,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.4092252552509308, 'start': 36, 'end': 60, 'answer': ' transparent glass beads'}","{'score': 0.3576306998729706, 'start': 70, 'end': 91, 'answer': '\xa0Height28 cmLength8.5'}","{'score': 0.010697769932448864, 'start': 177, 'end': 188, 'answer': ' overstock.'}",Coloured glass,Glass brise-soleil louvre blades,Pr_30_59_09_33,Other,Other,Glass blocks and panels,0.010697769932448864,,,,
1079,999LIG541S,Hanging light ‘ Verner ’ in textured glass,0.5,kg,pc,"
Hanging light ‘Verner’ in textured glass.Socket: E27While the glass is vintage, the electrical components and cable have been entirely renewed.TriplePrice includes textile cables, metallic ceiling caps and white canopy with 3 outputs. Other cable colours and dimensions available on request. Bulbs are not included in the price.Total Height: 145 cmQuintuplePrice includes textile cables, metallic ceiling caps and white canopy with 5 outputs. Other cable colours and dimensions available on request. Bulbs are not included in the price.Total height: 180 cmSinglePrice includes 1,2m textile cable and metallic ceiling cap. Other cable colours and dimensions available on request. Bulb is not included in the priceGlass Height: 20cm
",Lighting,https://rotordc.com/shop/product/hanging-light-verner-in-textured-glass-56090?page=6&category=39,"['56090_143c2df.png', '5753_422d6ee.png', '5754_422d6ee.png', '5755_422d6ee.png']",49.0,59.0,,,,,,,,,,10.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.8316084742546082, 'start': 26, 'end': 49, 'answer': ' textured glass.Socket:'}","{'score': 0.14918392896652222, 'start': 322, 'end': 363, 'answer': ' price.Total Height: 145 cmQuintuplePrice'}","{'score': 0.0031094676814973354, 'start': 224, 'end': 226, 'answer': ' 3'}",Reflective glass,Glass brise-soleil louvre blades,Pr_30_59_09_33,Other,Other,Glass blocks and panels,0.0031094676814973354,,,,
1289,999LIG541T,Hanging light ‘ Verner ’ in textured glass,1.5,kg,pc,"
Hanging light ‘Verner’ in textured glass.Socket: E27While the glass is vintage, the electrical components and cable have been entirely renewed.TriplePrice includes textile cables, metallic ceiling caps and white canopy with 3 outputs. Other cable colours and dimensions available on request. Bulbs are not included in the price.Total Height: 145 cmQuintuplePrice includes textile cables, metallic ceiling caps and white canopy with 5 outputs. Other cable colours and dimensions available on request. Bulbs are not included in the price.Total height: 180 cmSinglePrice includes 1,2m textile cable and metallic ceiling cap. Other cable colours and dimensions available on request. Bulb is not included in the priceGlass Height: 20cm
",Lighting,https://rotordc.com/shop/product/hanging-light-verner-in-textured-glass-56090?page=7&category=39,"['56090_143c2df.png', '5753_422d6ee.png', '5754_422d6ee.png', '5755_422d6ee.png']",147.0,147.0,,,,,,,,,2022-12-26,0.0,,2022-12-26,BE,rotordc,fr,1,0.0,"{'score': 0.8316084742546082, 'start': 26, 'end': 49, 'answer': ' textured glass.Socket:'}","{'score': 0.14918392896652222, 'start': 322, 'end': 363, 'answer': ' price.Total Height: 145 cmQuintuplePrice'}","{'score': 0.0031094676814973354, 'start': 224, 'end': 226, 'answer': ' 3'}",Reflective glass,Glass brise-soleil louvre blades,Pr_30_59_09_33,Other,Other,Glass blocks and panels,0.0031094676814973354,,,,0.0
1810,206LIG579,Wall light in textured glass by Vogue Studio - Blanca,1.2,kg,pc,"
Wall light in textured glass by Vogue Studio, Italy. Height21 cmLength24 cmWidth10 cm Socket1 x E27, max 100 W, 220 V New. From overstock. Dusty, needs to be cleaned. Fittings are original. May have small scratches and imperfections. Bulb is not included in the price.
",Lighting,https://rotordc.com/shop/product/206lig579-wall-light-in-textured-glass-by-vogue-studio-blanca-60382?page=5&category=39,"['60382_bb82d8e.png', '13089_942b83e.png', '13090_942b83e.png', '13091_942b83e.png', '13092_942b83e.png', '13093_942b83e.png']",79.0,79.0,,,,,,,,,,0.0,,2023-06-20,BE,rotordc,fr,0,,"{'score': 0.8776084184646606, 'start': 14, 'end': 29, 'answer': ' textured glass'}","{'score': 0.21302759647369385, 'start': 53, 'end': 86, 'answer': '\xa0Height21 cmLength24 cmWidth10 cm'}","{'score': 0.1645718812942505, 'start': 128, 'end': 139, 'answer': ' overstock.'}",Coloured glass,Glass brise-soleil louvre blades,Pr_30_59_09_33,Other,Other,Glass blocks and panels,0.1645718812942505,,,,
1811,206LIG578,Wall light in textured glass by Vogue Studio - Azzura,1.2,kg,pc,"
Wall light in textured glassed by Vogue Studio, Italy. Height21 cmLength24 cmWidth10 cm Socket1 x E27, max 100 W, 220 VNew. From overstock. Dusty, needs to be cleaned. Fittings are original. May have small scratches and imperfections. Bulb is not included in the price.
",Lighting,https://rotordc.com/shop/product/206lig578-wall-light-in-textured-glass-by-vogue-studio-azzura-60381?page=5&category=39,"['60381_6cb4987.png', '13082_a4dcd72.png', '13083_a4dcd72.png', '13084_a4dcd72.png', '13085_a4dcd72.png', '13086_a4dcd72.png', '13087_a4dcd72.png', '13088_a4dcd72.png']",79.0,79.0,,,,,,,,,,0.0,,2023-06-20,BE,rotordc,fr,0,,"{'score': 0.7598623037338257, 'start': 14, 'end': 31, 'answer': ' textured glassed'}","{'score': 0.22860442101955414, 'start': 55, 'end': 88, 'answer': '\xa0Height21 cmLength24 cmWidth10 cm'}","{'score': 0.2333240658044815, 'start': 129, 'end': 140, 'answer': ' overstock.'}",Coloured glass,Glass brise-soleil louvre blades,Pr_30_59_09_33,Other,Other,Glass blocks and panels,0.2333240658044815,,,,
1812,206LIG577,Wall light in textured glass by Vogue Studio - Rosa,1.2,kg,pc,"
Wall light in textured glassed by Vogue Studio, Italy. Height21 cmLength24 cmWidth10 cm Socket1 x E27, max 100 W, 220 V New. From overstock. Dusty, needs to be cleaned. Fittings are original. May have small scratches and imperfections. Bulb is not included in the price.
",Lighting,https://rotordc.com/shop/product/206lig577-wall-light-in-textured-glass-by-vogue-studio-rosa-60380?page=5&category=39,"['60380_8b59adc.png', '13094_c1a761f.png', '13095_c1a761f.png', '13096_c1a761f.png', '13097_c1a761f.png', '13098_c1a761f.png']",79.0,79.0,,,,,,,,,,0.0,,2023-06-20,BE,rotordc,fr,0,,"{'score': 0.7765385508537292, 'start': 14, 'end': 31, 'answer': ' textured glassed'}","{'score': 0.2189769595861435, 'start': 55, 'end': 88, 'answer': '\xa0Height21 cmLength24 cmWidth10 cm'}","{'score': 0.1722971349954605, 'start': 130, 'end': 141, 'answer': ' overstock.'}",Coloured glass,Glass brise-soleil louvre blades,Pr_30_59_09_33,Other,Other,Glass blocks and panels,0.1722971349954605,,,,
1813,206LIG576,Wall light in textured glass by Vogue Studio - Ambra,1.2,kg,pc,"
Wall light in textured glassed by Vogue Studio, Italy.  


Height


21 cm




Length


24 cm




Width


10 cm 




Socket


1 x E27, max 100 W, 220 V



New. From overstock. Dusty, needs to be cleaned. Fittings are original. May have small scratches and imperfections. Bulb is not included in the price.
",Lighting,https://rotordc.com/shop/product/206lig576-wall-light-in-textured-glass-by-vogue-studio-ambra-60379?page=5&category=39,"['60379_b3f644e.png', '13099_adf01eb.png', '13100_adf01eb.png', '13101_adf01eb.png', '13102_adf01eb.png', '13103_ad61ae2.png']",79.0,79.0,,,,,,,,,,0.0,,2023-06-20,BE,rotordc,fr,0,,"{'score': 0.7530987858772278, 'start': 14, 'end': 31, 'answer': ' textured glassed'}","{'score': 0.28697094321250916, 'start': 59, 'end': 93, 'answer': '\nHeight\n\n\n21 cm\n\n\n\n\nLength\n\n\n24 cm'}","{'score': 0.19237270951271057, 'start': 164, 'end': 175, 'answer': ' overstock.'}",Coloured glass,Glass brise-soleil louvre blades,Pr_30_59_09_33,Other,Other,Glass blocks and panels,0.19237270951271057,,,,
1814,206LIG543,Wall/Ceiling light in textured pearl glass by Leuchten ca .,1.7,kg,pc,"
Wall/Ceiling light in pearl glass by HP Leuchten, Germany (ca. 1960). Height 12 cm Length 22 cm Width 12 cm  Socket 1x E27 (max 60W) New. From overstock. Dusty, needs to be cleaned. Bulb is not included in the price. Glass color may vary. The fitting and electric systems are original.
",Lighting,https://rotordc.com/shop/product/206lig543-wall-ceiling-light-in-textured-pearl-glass-by-hp-leuchten-ca-1960-60303?page=5&category=39,"['60303_bd1c8ff.png', '12850_f710904.png', '12851_f710904.png', '12852_f710904.png', '12853_f710904.png']",59.0,59.0,,,,,,,,,,0.0,,2023-06-20,BE,rotordc,fr,0,,"{'score': 0.9717307090759277, 'start': 22, 'end': 34, 'answer': ' pearl glass'}","{'score': 0.3846179246902466, 'start': 70, 'end': 96, 'answer': '\xa0Height 12 cm Length 22 cm'}","{'score': 0.3508186340332031, 'start': 116, 'end': 123, 'answer': ' 1x E27'}",Coloured glass,Glass brise-soleil louvre blades,Pr_30_59_09_33,Other,Other,Glass blocks and panels,0.3508186340332031,,,,
1818,206LIG625,Ceiling light ' in frosted textured glass by Milan - White ⌀ cm,4.16,kg,pc,"
Ceiling light 'MI5209' by Milan (Spain) with frosted textured glass and white lacquered steel base. Height14 cmDiameter35 cmSocket2 x E14  New. From overstock. Dusty, needs to be cleaned. Fittings and cable are renewed. May have small scratches and imperfections. Bulbs are not included in the price.
",Lighting,https://rotordc.com/shop/product/206lig625-ceiling-light-mi5211-in-frosted-textured-glass-by-milan-white-35-cm-60444?page=6&category=39,"['60444_f986957.png', '13319_384349c.png', '13320_384349c.png', '13321_384349c.png', '13322_384349c.png']",89.0,89.0,,,,,,,,,,0.0,,2023-06-20,BE,rotordc,fr,0,,"{'score': 0.7743907570838928, 'start': 45, 'end': 68, 'answer': '\xa0frosted textured glass'}","{'score': 0.5491917133331299, 'start': 100, 'end': 132, 'answer': '\xa0Height14 cmDiameter35 cmSocket2'}","{'score': 0.2536310851573944, 'start': 149, 'end': 160, 'answer': ' overstock.'}",Patterned glass,Glass brise-soleil louvre blades,Pr_30_59_09_33,Other,"Floors, Ceiling",Glass blocks and panels,0.2536310851573944,,,,
