,Code,report,features
0,Heat emitters,"              precision    recall  f1-score   support

           0       0.00      0.00      0.00         1
           1       0.91      1.00      0.95        10

    accuracy                           0.91        11
   macro avg       0.45      0.50      0.48        11
weighted avg       0.83      0.91      0.87        11
","                             Feature  Importance
0                              Price         1.0
1        Category_Doors and  Windows         0.0
2  Category_Gebäudetechnik & Sanitär         0.0
3  Category_Miscellaneous Used Items         0.0
4    Material_geotechnical  assembly         0.0
5           Material_voltmeter_ peak         0.0
6                 Code_Heat emitters         0.0"
1,Frameless glass door leaves,"              precision    recall  f1-score   support

           0       0.00      0.00      0.00         5
           1       0.84      1.00      0.91        26

    accuracy                           0.84        31
   macro avg       0.42      0.50      0.46        31
weighted avg       0.70      0.84      0.77        31
","                             Feature  Importance
0                              Price    0.741596
9                  Material_pavement    0.132368
3        Category_Doors and  Windows    0.082091
6        Material_element  component    0.043945
1                    Category_Ausbau    0.000000
2                     Category_Doors    0.000000
4       Category_glass_interior_door    0.000000
5                     Material_asset    0.000000
7                   Material_freezer    0.000000
8     Material_geotechnical  element    0.000000
10     Material_structural  activity    0.000000
11  Code_Frameless glass door leaves    0.000000"
2,Refrigerators,"              precision    recall  f1-score   support

           1       1.00      1.00      1.00        16

    accuracy                           1.00        16
   macro avg       1.00      1.00      1.00        16
weighted avg       1.00      1.00      1.00        16
","                                Feature  Importance
9              Material_voltmeter_ peak         1.0
0                                 Price         0.0
1                       Category_Ausbau         0.0
2     Category_Gebäudetechnik & Sanitär         0.0
3                        Category_ovens         0.0
4          Material_contactwire segment         0.0
5   Material_distribution flow  element         0.0
6             Material_flow  instrument         0.0
7                     Material_pavement         0.0
8                         Material_root         0.0
10                   Code_Refrigerators         0.0"
3,Wood panelled door leaves,"              precision    recall  f1-score   support

           0       0.68      0.59      0.63        22
           1       0.40      0.50      0.44        12

    accuracy                           0.56        34
   macro avg       0.54      0.55      0.54        34
weighted avg       0.58      0.56      0.57        34
","                           Feature  Importance
2                    Category_Door    0.798088
3                   Category_Doors    0.152909
0                            Price    0.026906
7      Material_element  component    0.013192
12       Material_wirepair segment    0.008904
1     Category_Antique & Reclaimed    0.000000
4      Category_Doors and  Windows    0.000000
5                   Material_asset    0.000000
6           Material_consumer unit    0.000000
8                 Material_freezer    0.000000
9                Material_pavement    0.000000
10                Material_scanner    0.000000
11     Material_telephony exchange    0.000000
13  Code_Wood panelled door leaves    0.000000"
4,Roofing swags,"              precision    recall  f1-score   support

           0       0.00      0.00      0.00         3
           1       0.77      1.00      0.87        10

    accuracy                           0.77        13
   macro avg       0.38      0.50      0.43        13
weighted avg       0.59      0.77      0.67        13
","                                Feature  Importance
0                                 Price         1.0
1           Category_Doors and  Windows         0.0
2                      Category_Fenster         0.0
3  Category_Gebäudehülle & Konstruktion         0.0
4                      Category_windows         0.0
5           Material_element  component         0.0
6                      Material_freezer         0.0
7                         Material_root         0.0
8                    Code_Roofing swags         0.0"
5,Uncontrolled door closers,"              precision    recall  f1-score   support

           0       1.00      0.50      0.67         6
           1       0.97      1.00      0.98        91

    accuracy                           0.97        97
   macro avg       0.98      0.75      0.83        97
weighted avg       0.97      0.97      0.96        97
","                                       Feature  Importance
0                                        Price         1.0
1                  Category_Doors and  Windows         0.0
2  Category_other_special_interior_furnishings         0.0
3                  Category_simple_solid_doors         0.0
4                             Material_freezer         0.0
5                       Material_pipe  fitting         0.0
6                             Material_product         0.0
7               Code_Uncontrolled door closers         0.0"
6,Concrete bollards,"              precision    recall  f1-score   support

           0       0.00      0.00      0.00         1
           1       0.93      0.88      0.90        16

    accuracy                           0.82        17
   macro avg       0.47      0.44      0.45        17
weighted avg       0.88      0.82      0.85        17
","                                 Feature  Importance
0                                  Price         1.0
1         Category_Baustoffe & Werkzeuge         0.0
2              Category_Fliesen & Steine         0.0
3      Category_Miscellaneous Used Items         0.0
4                      Category_Umgebung         0.0
5                 Category_border_gutter         0.0
6                  Category_other_layout         0.0
7                      Material_building         0.0
8           Material_geographic  element         0.0
9   Material_linear positioning  element         0.0
10                        Material_plate         0.0
11          Material_projection  element         0.0
12                   Material_road  part         0.0
13   Material_spatial structure  element         0.0
14                Code_Concrete bollards         0.0"
7,Paving primers,"              precision    recall  f1-score   support

           0       0.00      0.00      0.00         2
           1       0.71      1.00      0.83         5

    accuracy                           0.71         7
   macro avg       0.36      0.50      0.42         7
weighted avg       0.51      0.71      0.60         7
","                         Feature  Importance
0                          Price         0.0
1  Category_Garten & Freianlagen         0.0
2        Material_track  element         0.0
3            Code_Paving primers         0.0"
8,Door hinges,"              precision    recall  f1-score   support

           0       0.86      0.94      0.90        84
           1       0.95      0.88      0.92       110

    accuracy                           0.91       194
   macro avg       0.90      0.91      0.91       194
weighted avg       0.91      0.91      0.91       194
","                                 Feature  Importance
3            Category_Doors and  Windows    0.590746
1                        Category_Ausbau    0.234726
8           Category_glass_interior_door    0.046925
4                Category_Türen & Zargen    0.030347
14           Material_element  component    0.023166
16                Material_pipe  fitting    0.021323
7                    Category_fire_doors    0.017407
15                      Material_freezer    0.017017
0                                  Price    0.012871
12           Category_simple_solid_doors    0.005472
17                      Material_product    0.000000
13    Category_sliding_and_folding_doors    0.000000
9      Category_other_built_in_accessory    0.000000
11               Category_overhead_doors    0.000000
10  Category_other_interior_special_door    0.000000
6       Category_exterior_door_ironsmith    0.000000
5                 Category_door_hardware    0.000000
2         Category_Baustoffe & Werkzeuge    0.000000
18                      Code_Door hinges    0.000000"
9,Reclining chairs,"              precision    recall  f1-score   support

           1       1.00      1.00      1.00        19

    accuracy                           1.00        19
   macro avg       1.00      1.00      1.00        19
weighted avg       1.00      1.00      1.00        19
","                                Feature  Importance
0                                 Price         1.0
1                       Category_Ausbau         0.0
2     Category_Miscellaneous Used Items         0.0
3                     Category_Mobilier         0.0
4                       Category_seated         0.0
5          Material_electric  generator         0.0
6                      Material_freezer         0.0
7                Material_frost  sensor         0.0
8                    Material_geo slice         0.0
9   Material_structural point  reaction         0.0
10                Code_Reclining chairs         0.0"
10,Window walls,"              precision    recall  f1-score   support

           0       0.00      0.00      0.00         1
           1       0.97      1.00      0.98        31

    accuracy                           0.97        32
   macro avg       0.48      0.50      0.49        32
weighted avg       0.94      0.97      0.95        32
","                                  Feature  Importance
18            Material_element  component    0.538157
0                                   Price    0.210814
3             Category_Doors and  Windows    0.152248
20                       Material_freezer    0.098781
14           Category_solid_exterior_door    0.000000
25     Material_structural planar  action    0.000000
24  Material_structural curve  connection    0.000000
23                          Material_root    0.000000
22                       Material_product    0.000000
21                      Material_pavement    0.000000
19                      Material_fastener    0.000000
17           Material_discrete  accessory    0.000000
16                       Category_windows    0.000000
15                   Category_storefronts    0.000000
13                       Category_railing    0.000000
1                         Category_Ausbau    0.000000
12      Category_other_built_in_accessory    0.000000
11      Category_notice_board_chalk_board    0.000000
10           Category_glass_interior_door    0.000000
9                    Category_glass_doors    0.000000
8             Category_exterior_claddings    0.000000
7                      Category_Sonstiges    0.000000
6             Category_Portes et fenêtres    0.000000
5       Category_Gebäudetechnik & Sanitär    0.000000
4    Category_Gebäudehülle & Konstruktion    0.000000
2                          Category_Doors    0.000000
26                      Code_Window walls    0.000000"
