,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
138,903,903,Metalltreppe,used & cleaned,"['C01.04', 'C04.02', 'C04.06', 'D12.04', 'I02.04']","Suspended structural slabs, roof structure",,Ausbau,Geländer & Treppen,Treppen & Rampen,"hochwertige Metalltreppe mit Platteneinlagen. Eingebaut ende Jahr 2015, Metallwange mit Trittstufen mit Plattenbelag dunkel. Geländer mit Chromstahlhandlauf und Drahtseil verspannung horizontal inkl. Rücklaufgeländer für Treppenloch 1100x3570mm. Höhe fertig Boden zu fertig Boden 2297mm. Wird im Juni 21 demontiert und eingelagert. Abholbereit in Gossau ZH. Kontakt unter 079/347 78 59. Kann besichtigt werden (ausgebaut) Fotos vorhanden inkl. sämtlichen Plangrundlagen.",Stone,357.0,110.0,"229,7",,,,,,3500.0,,,1970-01-01,3500.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,81363,CH,de,20210220_100112_%281%29_570x570.jpg,https://www.useagain.ch/de/metalltreppe-81363,C04,stairs,,,,"{'score': 0.15352104604244232, 'start': 11, 'end': 24, 'answer': ' Metalltreppe'}","{'score': 0.009524050168693066, 'start': 232, 'end': 245, 'answer': ' 1100x3570mm.'}","{'score': 1.994425656448584e-05, 'start': 232, 'end': 245, 'answer': ' 1100x3570mm.'}",Metal,Metal skirtings,Pr_35_90_43_59,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails
180,950,950,Metallgeländer,used & cleaned,"['E02.06', 'E03.05']",External wall cladding to buildings,,Ausbau,Geländer & Treppen,Geländer,"3 Elemente vom Metall-Geländer auf der Empore sind noch zu haben
-&gt; (wird in Hülse gesteckt),   Preis ist/ Stk ( Fr. 200.-- f alle 3 stk )
B: 3 à 140cm, Höhe 104cm, D: 3,5 cm, Farbe ist wie neu",Metal,3.0,140.0,104,,,,,,75.0,,,1970-01-01,75.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,79775,CH,de,dsc00365_570x570.jpg,https://www.useagain.ch/de/metallgelaender-79775,E,,,,,"{'score': 5.65321279282216e-05, 'start': 178, 'end': 196, 'answer': ' Farbe ist wie neu'}","{'score': 0.2583460509777069, 'start': 141, 'end': 155, 'answer': '\nB: 3 à 140cm,'}","{'score': 0.022976582869887352, 'start': 133, 'end': 139, 'answer': ' 3 stk'}",Metal,Metal skirtings,Pr_35_90_43_59,Technical elements,"Blocks, Panels, Fences, Bricks",Wire structure and general products
242,1023,1023,Metall-Aussentreppe,,"['C01.04', 'C04.02', 'C04.06', 'D12.04', 'I02.04']","Suspended structural slabs, roof structure",,Ausbau,Geländer & Treppen,Treppen & Rampen,"Neuwertige feuerverzinkte Stahl Aussentreppe mit Geländer. Die Trittstufen sind einzeln abnehmbar und können somit auch bei anderen Treppen eingesetzt werden. Infolge Rekurs musste die Treppe wieder abgebaut werden und ist somit noch nie in  Betrieb gewesen.
Die abgebaute Treppe kann in Uetikon am See abgeholt werden
Für weitere Details kontaktieren Sie bitte Tel: 079 745 03 04",Metal,,,,,,,,2022-07-13,2500.0,,,1970-01-01,2500.0,1970-01-01 00:00:00.000,0.0,1.0,15.0,"Uetikon am See, 8707",,useagain,83034,CH,de,,https://www.useagain.ch/de/metall-aussentreppe-83034,C04,stairs,,,,"{'score': 0.8878233432769775, 'start': 10, 'end': 31, 'answer': ' feuerverzinkte Stahl'}","{'score': 0.00022268500470090657, 'start': 10, 'end': 58, 'answer': ' feuerverzinkte Stahl Aussentreppe mit Geländer.'}","{'score': 3.166088845318882e-06, 'start': 10, 'end': 58, 'answer': ' feuerverzinkte Stahl Aussentreppe mit Geländer.'}",Metal,Metal skirtings,Pr_35_90_43_59,Structural elements,"Blocks, Panels, Fences, Bricks",Wire structure and general products
323,1114,1114,Aussentreppe verz . Metall mit Handlauf,used,"['E02.06', 'E03.05']",External wall cladding to buildings,,Ausbau,Geländer & Treppen,Geländer,"sehr gut erhaltene flache ( = bequeme)  Metalltreppe f Aussen  (1 stk  - nicht zerlegbar)
B: 101cm, 
T: 28,5 cm /( Tritt; G: ca 330cm; 
H: 15,5cm/ Tritt, bzw x 12 = ca 190cm,
L: 400cm
Ist   demontiert  u eingelagert - Stapler für Auflad auf dem Geläbnde vorhanden
Nr intertn 2450 ca",Metal,,,,,,,,2022-07-07,1250.0,,,1970-01-01,1250.0,1970-01-01 00:00:00.000,0.0,1.0,0.0,"Winterthur, 8405",,useagain,90156,CH,de,,https://www.useagain.ch/de/aussentreppe-verz.-metall-mit-handlauf-90156,E,stairs,,,,"{'score': 0.2560729384422302, 'start': 39, 'end': 52, 'answer': ' Metalltreppe'}","{'score': 0.08463286608457565, 'start': 89, 'end': 100, 'answer': '\r\nB: 101cm,'}","{'score': 0.03381428122520447, 'start': 62, 'end': 69, 'answer': ' (1 stk'}",Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
473,1286,1286,Metalltreppe -Stufig,,,,,Ausbau,Geländer & Treppen,Treppen & Rampen,"Material: Metall
Stufen: Riffelblech
Verwendungszweck: Aussenbereich
Montagematerial: 2 x Stahl-Nasen
Stufenhöhe: 22,5cm",Metal,,,,,,,,2022-09-02,250.0,,,1970-01-01,250.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Brügg, 2555",,useagain,83048,CH,de,,https://www.useagain.ch/de/metalltreppe-3-stufig-83048,,stairs,,,,"{'score': 0.9126408100128174, 'start': 9, 'end': 16, 'answer': ' Metall'}","{'score': 0.15550343692302704, 'start': 117, 'end': 124, 'answer': ' 22,5cm'}","{'score': 0.010127783752977848, 'start': 88, 'end': 90, 'answer': ' 2'}",Metal,Metal skirtings,Pr_35_90_43_59,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails
577,1394,1394,Metallgeländer verzinkt,like new,"['I02.03', 'I02.05']",External structures,,Ausbau,Komplette Objekte,Freistehend,"unbenütztes Metallgeländer verzinkt mit Selibespannung, für Montage auf Boden
Bitte beachten Sie, dass dieses Bauteil extern gelagert ist und wir mind. 1 Tag vorher Info benötigen, um es in den Laden an der Arbergstrasse 11 holen zu können
intern Nr 533",Metal,4.0,315.0,100,,,,,2022-09-06,225.0,,,1970-01-01,225.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,79972,CH,de,20200701_110117_570x570.jpg,https://www.useagain.ch/de/metallgelaender-verzinkt-79972,I02,,,,,"{'score': 0.45760318636894226, 'start': 26, 'end': 35, 'answer': ' verzinkt'}","{'score': 0.0005741476197727025, 'start': 0, 'end': 55, 'answer': 'unbenütztes Metallgeländer verzinkt mit Selibespannung,'}","{'score': 0.0005094154039397836, 'start': 0, 'end': 55, 'answer': 'unbenütztes Metallgeländer verzinkt mit Selibespannung,'}",Metal,Metal skirtings,Pr_35_90_43_59,Structural elements,"Blocks, Panels, Fences, Bricks",Wire structure and general products
684,1510,1510,Holzmetallfenster xverglast x,used & cleaned,['E03.01'],Windows,,Gebäudehülle & Konstruktion,Fenster,Wandfenster,"Wir verkaufen unser hochwertiges Holzmetallfenster mit den Massen 2673 x 1306 wegen einem Umbau. Das Fenster ist dreifach verglast und wurde 2010 eingebaut. 

Das Fenster ist bereits demontiert. Vom Entfernen der Silikonfuge ist am oberen Rahmen ein Schnitt zu sehen. 

Der Preis ist verhandelbar. Das Fenster kann gerne besichtigt werden.",Glass,,,,,,,,,380.0,,,1970-01-01,380.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Wohlen, 5610",,useagain,77529,CH,de,dsc03864_570x570.jpg,https://www.useagain.ch/de/holzmetallfenster-3xverglast-2673-x-1306-77529,E03.01,window,,,,"{'score': 0.7380549311637878, 'start': 32, 'end': 50, 'answer': ' Holzmetallfenster'}","{'score': 0.8396931886672974, 'start': 65, 'end': 77, 'answer': ' 2673 x 1306'}","{'score': 0.5590999722480774, 'start': 65, 'end': 77, 'answer': ' 2673 x 1306'}",Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
696,1524,1524,Metallaussentreppe,,"['C01.04', 'C04.02', 'C04.06', 'D12.04', 'I02.04']","Suspended structural slabs, roof structure",,Ausbau,Geländer & Treppen,Treppen & Rampen,"flache Aussentreppe aus Metall,
Tritte mit Beton gefüllt (ca 35Kg/Tritt),
Grundmass: 450cm; L. Diagonal: 510cm;
H: 16,5 cm/ Tritt X 15 Tritte + Austritt = 264cm,
Laufbreite: 107cm; Auftritt( Tritttiefe: 29cm);
demonteirt, und eingelagert, 
14 Schrauben drehen durch ( -&gt; ev ausbohren!?)
Nr intern: 2186",Metal,,,,,,,,2022-06-21,1950.0,,,1970-01-01,1750.0,1970-01-01 00:00:00.000,-200.0,1.0,121.0,,,useagain,82796,CH,de,20220218_131135_%281%29_570x570.jpg,https://www.useagain.ch/de/metallaussentreppe-82796,C04,stairs,,,,"{'score': 0.17318855226039886, 'start': 23, 'end': 31, 'answer': ' Metall,'}","{'score': 0.1574610471725464, 'start': 73, 'end': 91, 'answer': '\nGrundmass: 450cm;'}","{'score': 0.0005459110252559185, 'start': 60, 'end': 73, 'answer': ' 35Kg/Tritt),'}",Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Wire structure and general products
1060,1907,1907,Dreh-Kaminaufsätze Typ `` John '' Kupfer bis mm,used,"['E01.01', 'E01.02', 'E01.03', 'E02.01', 'E02.02', 'E02.03', 'E02.04', 'E02.05', 'F01.01', 'J03.01', 'J03.02', 'Sonstiges']",External wall cladding above ground,,Baustoffe & Werkzeuge,Baustoffe & Werkzeuge,Baustoffe,"Sofern abzugeben wegen Nichtgebrauchs oder geplanter Verschrottung, nehme ich gerne Dreh-Kaminaufsätze/Johnshüte/Johne aus Kupfer zu einem fairen Preis entgegen. Rohrdurchmesser idealerweise zwischen 180 und 300mm (bzw. 18x18 - 30x30). Ich bin an neuwertigen und alten/gebrauchten Exemplaren interessiert (1960-2000), vorzugsweise Bertrams, Debrunner, Ohnsorg und Spaeter Fabrikate. Barzahlung bei Abholung.


Tel. 077 523 76 75",,,,,,,,,,1.0,,,1970-01-01,1.0,2023-09-25 00:00:00.000,0.0,1.0,252.0,"Uster, 8610",,useagain,90352,CH,de,debrunner_570x570.jpg,https://www.useagain.ch/de/suche-dreh-kaminaufsaetze-typ-john-kupfer-180-bis-300mm-90352,E02,,,,,"{'score': 0.9893224239349365, 'start': 122, 'end': 129, 'answer': ' Kupfer'}","{'score': 0.24356533586978912, 'start': 190, 'end': 213, 'answer': ' zwischen 180 und 300mm'}","{'score': 0.00032298144651576877, 'start': 219, 'end': 235, 'answer': ' 18x18 - 30x30).'}",Metal,Metal skirtings,Pr_35_90_43_59,Technical elements,Other,Shaft-lining products
1331,2182,2182,Gartentor Metall,"used, cleaned & tested","['I02.01', 'I02.08', 'I03.01', 'I03.06', 'I04.02', 'I04.04', 'I05.06', 'Sonstiges']",External structures,,Umgebung,Garten & Aussenbereich,Zubehör,"Hersteller: keine Angaben
Garantie: ohne Garantie
Masse: H: 110 cm B: 111 cm T: 5 cm
Mängel: Gebrauchsspuren
Material: gemischt
Zustand: occasion/gebraucht

Artikel Nr: 111259",Mixed,5.0,111.0,110,,,,,2022-10-06,249.0,,,1970-01-01,249.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,"Münchenstein, 4142",,useagain,90808,CH,de,111259_570x570.jpg,https://www.useagain.ch/de/gartentor-metall-90808,I02,gate,,,,"{'score': 0.9865147471427917, 'start': 118, 'end': 127, 'answer': ' gemischt'}","{'score': 0.7138849496841431, 'start': 56, 'end': 84, 'answer': ' H: 110 cm B: 111 cm T: 5 cm'}","{'score': 0.25645723938941956, 'start': 56, 'end': 84, 'answer': ' H: 110 cm B: 111 cm T: 5 cm'}",Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
1439,2290,2290,Holz/Metallfenster flüglig,mixed,['E03.01'],Windows,,Gebäudehülle & Konstruktion,Fenster,Wandfenster,"gut erhaltenes Holz/Metallfenster , 1-flüglig, Band links (Foto ist vom baugelichen aber Band rechts - ist verkauft), kein kipp, Rahmenaussenmasse: B: 58cm, H: 125cm;

ca 150 weitere Fenster und Fenstertüren an Lager --&gt; fragen Sie nach: BauTeilLaden Wintethur 052 238 27 00 oder sehen Sie die Fensterliste auf Artikel Nr 60631",Wood,,,,,,,,,200.0,,,1970-01-01,200.0,1970-01-01 00:00:00.000,0.0,1.0,70.0,,,useagain,75079,CH,de,20171012_174200_570x570.jpg,https://www.useagain.ch/de/holz-metallfenster-1-flueglig-75079,E03.01,single leaf window,,,,"{'score': 0.540371835231781, 'start': 14, 'end': 33, 'answer': ' Holz/Metallfenster'}","{'score': 0.46823766827583313, 'start': 147, 'end': 166, 'answer': ' B: 58cm, H: 125cm;'}","{'score': 0.020848283544182777, 'start': 170, 'end': 174, 'answer': ' 150'}",Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
2124,2980,2980,Türzarge Metall,used & cleaned,"['G01.03', 'Sonstiges']",Shaft fronts,,Ausbau,Türen & Tore,Zubehör,Produkte-Nr. 2477,Metal,18.0,,207,,,,,2022-08-11,100.0,,,1970-01-01,100.0,2023-09-25 00:00:00.000,0.0,1.0,149.0,"Zürich, 8050",,useagain,82528,CH,de,2477_1_570x570.jpg,https://www.useagain.ch/de/tuerzarge-metall-82528,G01.03,door frame,,,,"{'score': 0.0011972791980952024, 'start': 0, 'end': 17, 'answer': 'Produkte-Nr. 2477'}","{'score': 9.129024692811072e-05, 'start': 12, 'end': 17, 'answer': ' 2477'}","{'score': 0.4134872555732727, 'start': 12, 'end': 17, 'answer': ' 2477'}",Metal,Metal skirtings,Pr_35_90_43_59,Structural elements,"Blocks, Panels, Fences, Bricks",Wire structure and general products
