,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
48,807,807,Intakte Heizanlage,used & cleaned,"['D05.01', 'D05.02', 'I05.03']",Heating installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Wärmeerzeugung,"Intakte Heizanlage, 2,6t Heizöl und 8 Heizkörper zu verkaufen",Metal,,,,,,,,,4800.0,,,1970-01-01,4800.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Wettingen, 5430",,useagain,78006,CH,de,3f3d40fe-20ed-4177-ad37-f4738755cd44_570x570.jpeg,https://www.useagain.ch/de/intakte-heizanlage-78006,D05,heating,,,,"{'score': 0.44071054458618164, 'start': 19, 'end': 31, 'answer': ' 2,6t Heizöl'}","{'score': 0.003043101169168949, 'start': 0, 'end': 48, 'answer': 'Intakte Heizanlage, 2,6t Heizöl und 8 Heizkörper'}","{'score': 0.15141795575618744, 'start': 19, 'end': 31, 'answer': ' 2,6t Heizöl'}",Heat-absorbing glass,Heat pipes,Pr_60_60_36_36,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products
231,1008,1008,Lit Stanboiler mit Wärmetauscher,used & cleaned,"['D05.02', 'D08.01']",Building services,,Gebäudetechnik & Sanitär,Wasseranlagen,Warmwasseraufbereitung,"gut erhaltener Standboiler mit Elektroheizung (400 V), 500 Lit; mit integr. Wärmetauscher für Heizung oder ev Solar vorwärmen; JG 2010; mechanisch entkalkt",Mixed,,,180,75,,,,,475.0,,,1970-01-01,475.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,79749,CH,de,20200429_142557_570x570.jpg,https://www.useagain.ch/de/500-lit-stanboiler-mit-waermetauscher-79749,D,boiler,,,,"{'score': 0.0001655761298025027, 'start': 135, 'end': 155, 'answer': ' mechanisch entkalkt'}","{'score': 0.00022478004393633455, 'start': 0, 'end': 63, 'answer': 'gut erhaltener Standboiler mit Elektroheizung (400 V), 500 Lit;'}","{'score': 0.6531014442443848, 'start': 54, 'end': 63, 'answer': ' 500 Lit;'}",Air-cooled steel slag,Heat pipes,Pr_60_60_36_36,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products
1877,2728,2728,Heizkörper,"used, cleaned & tested","['D05.01', 'D05.05']",Heating installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Heizkörper,"Hersteller: keine Angaben
Garantie: ohne Garantie
Mängel: Gebrauchsspuren
Material: gemischt 
Zustand: occasion/gebraucht

Artikel Nr: 110367",Mixed,,,,,,mixed,,2022-10-24,120.0,,,1970-01-01,120.0,1970-01-01 00:00:00.002,0.0,1.0,173.0,"Münchenstein, 4142",,useagain,91133,CH,de,110367_570x570.jpg,https://www.useagain.ch/de/heizkoerper-91133,D05,radiator,,,,"{'score': 0.9868425726890564, 'start': 83, 'end': 92, 'answer': ' gemischt'}","{'score': 2.6831336072064005e-05, 'start': 83, 'end': 92, 'answer': ' gemischt'}","{'score': 0.0042646839283406734, 'start': 83, 'end': 92, 'answer': ' gemischt'}",Lignite,Heat pipes,Pr_60_60_36_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products
1879,2730,2730,Heizkörper,"used, cleaned & tested","['D05.01', 'D05.05']",Heating installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Heizkörper,"Hersteller: Keramic Made in Germany
Garantie: ohne Garantie
Masse: H: 50 cm, B: 50 cm, T: 6 cm
Mängel: Gebrauchsspuren
Zustand: occasion/gebraucht

Artikel Nr: 111653",Mixed,6.0,50.0,50,,,mixed,,2022-10-06,49.0,,,1970-01-01,49.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,"Münchenstein, 4142",,useagain,90786,CH,de,111653_570x570.jpg,https://www.useagain.ch/de/heizkoerper-90786,D05,radiator,,,,"{'score': 0.39212745428085327, 'start': 11, 'end': 35, 'answer': ' Keramic Made in Germany'}","{'score': 0.8847025036811829, 'start': 66, 'end': 94, 'answer': ' H: 50 cm, B: 50 cm, T: 6 cm'}","{'score': 0.18175669014453888, 'start': 66, 'end': 94, 'answer': ' H: 50 cm, B: 50 cm, T: 6 cm'}",Lignite,Heat pipes,Pr_60_60_36_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products
1895,2746,2746,Heizwand neu,like new,"['D05.01', 'D05.05']",Heating installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Heizkörper,"neue  OVP Heizwände (von Aug 2014), von ABONIA: Vistaline Prolux; Ein- und Aus-lass: li oder rechts (1/2"")  Entlüftung und Ablass: re oder links (3/8"") , einlagig; (Radiator Heizkörper);
Heizleistung bei 50Â°Vor-und 40Â°Rück-lauf:515 Watt",Metal,4.0,80.0,144,,,,,,290.0,,,1970-01-01,290.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,,,useagain,72002,CH,de,14.07.2016-009_570x570.jpg,https://www.useagain.ch/de/heizwand-neu-72002,D05,heating,,,,"{'score': 5.565769242821261e-05, 'start': 153, 'end': 163, 'answer': ' einlagig;'}","{'score': 2.254755236208439e-05, 'start': 65, 'end': 106, 'answer': ' Ein- und Aus-lass: li oder rechts (1/2"")'}","{'score': 1.022037736220227e-06, 'start': 215, 'end': 238, 'answer': ' 40Â°Rück-lauf:515 Watt'}",Silt,Heat pipes,Pr_60_60_36_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products
2067,2921,2921,Einbau-Speisenwärmer,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: Miele
Modell: ESW5080-29
Jahrgang: 2013
Farbe: Edelstahl
Bauform: Einbau / EU-Norm
Funktion: wärmt Speisen
1 x Gitterrost
Anschluss: 230V 
Bedienungsanleitung dabei",,,,,,,,,2022-12-06,230.0,,,1970-01-01,230.0,1970-01-01 00:00:00.000,0.0,1.0,0.0,"Brügg, 2555",,useagain,91458,CH,de,_dsc9629_570x570.jpg,https://www.useagain.ch/de/einbau-speisenwaermer-91458,H03.05,,,,,"{'score': 0.26947110891342163, 'start': 58, 'end': 68, 'answer': ' Edelstahl'}","{'score': 0.0014814374735578895, 'start': 118, 'end': 133, 'answer': '\n1 x Gitterrost'}","{'score': 0.8394238948822021, 'start': 118, 'end': 133, 'answer': '\n1 x Gitterrost'}",Weathering steel,Heat pipes,Pr_60_60_36_36,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products
2114,2970,2970,Heizungsrohr gedämmt,"used, cleaned & tested","['D05.04', 'D06.04', 'D10.01', 'D10.02', 'D10.03', 'D10.04', 'D10.05', 'Sonstiges']",Gas installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Zubehör,"Hersteller: Keine Angaben
Garantie: Keine Garantie
Masse: 15.78 Laufmeter
Mängel: Gebrauchsspuren
Material: Gemischt
Zustand: occasion/gebraucht

Artikelnr:  112468",Mixed,15.0,,,,15,mixed,,2022-12-08,7.0,,,1970-01-01,7.0,2023-09-25 00:00:00.000,0.0,1.0,149.0,"Münchenstein, 4142",,useagain,91479,CH,de,112468_570x570.jpg,https://www.useagain.ch/de/heizungsrohr-gedaemmt-91479,D10,heating,,,,"{'score': 0.9937756657600403, 'start': 107, 'end': 116, 'answer': ' Gemischt'}","{'score': 0.8474427461624146, 'start': 57, 'end': 73, 'answer': ' 15.78 Laufmeter'}","{'score': 0.8961051106452942, 'start': 57, 'end': 73, 'answer': ' 15.78 Laufmeter'}",Silt,Heat pipes,Pr_60_60_36_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products
2203,3061,3061,sehr lange Heizwand quer ca,used,"['D05.01', 'D05.05']",Heating installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Heizkörper,"sehr lange Heizwand quer ca JG 2009, Anschlüsse unten ( Einrohrsystem), Entlüftung gegenüber, inkl. Thermostatventil, 
B: 300cm; H: 22cm; T: 3.5cm;
Preis ist / Stk

intern: Nr: ; ID: 18850; HP 91613",Metal,3.0,300.0,22,,,gray,,2023-01-11,125.0,,,1970-01-01,75.0,1970-01-01 00:00:00.000,-50.0,1.0,74.0,,,useagain,91613,CH,de,img-20221219-wa0004_570x570.jpg,https://www.useagain.ch/de/sehr-lange-heizwand-quer-ca-jg-2009-91613,D05,heating,,,,"{'score': 4.641123609872011e-07, 'start': 147, 'end': 178, 'answer': '\nPreis ist / Stk\n\nintern: Nr: ;'}","{'score': 0.47839316725730896, 'start': 118, 'end': 147, 'answer': '\nB: 300cm; H: 22cm; T: 3.5cm;'}","{'score': 0.09584388881921768, 'start': 147, 'end': 163, 'answer': '\nPreis ist / Stk'}",Sitka spruce,Heat pipes,Pr_60_60_36_36,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Space heating and cooling products
2258,3116,3116,Wärmedämmplatte,"used, cleaned & tested","['E01.01', 'E01.02', 'E01.03', 'E02.01', 'E02.02', 'E02.03', 'E02.04', 'E02.05', 'F01.01', 'J03.01', 'J03.02', 'Sonstiges']",External wall cladding above ground,,Baustoffe & Werkzeuge,Baustoffe & Werkzeuge,Baustoffe,"Masse: H: 125cm B: 60cm T: 8cm
Material: extrudiertes Polystyrol
Zustand: occasion/gebraucht
Mängel: keine Mängel

Artikel Nr:112508",Mixed,125.0,60.0,8,,,white,,2023-01-19,6.0,,,1970-01-01,6.0,1970-01-01 00:00:00.002,0.0,1.0,107.0,"Münchenstein, 4142",,useagain,91649,CH,de,112508_2_570x570.jpg,https://www.useagain.ch/de/waermedaemmplatte-xps-91649,E02,insulation boards,,,,"{'score': 0.6685030460357666, 'start': 40, 'end': 64, 'answer': ' extrudiertes Polystyrol'}","{'score': 0.46886417269706726, 'start': 6, 'end': 30, 'answer': ' H: 125cm B: 60cm T: 8cm'}","{'score': 0.007999296300113201, 'start': 6, 'end': 15, 'answer': ' H: 125cm'}",Heat-resisting glass,Heat pipes,Pr_60_60_36_36,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products
2841,4025,4025,Heizkörper,"used, cleaned & tested","['D05.01', 'D05.05']",Heating installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Heizkörper,"Masse: H: 117cm B: 50cm T: 7cm
Garantie: ohne Garantie
Mängel: ohne Mängel
Zustand: occasion/gebraucht

Artikel Nr: 112030",,7.0,50.0,117,,,,,2023-02-20,150.0,,,1970-01-01,150.0,1970-01-01 00:00:00.000,0.0,1.0,13.0,"Münchenstein, 4142",,useagain,91978,CH,de,112030_570x570.jpg,https://www.useagain.ch/de/heizkoerper-91978,D05,radiator,,,,"{'score': 2.8613705580937676e-05, 'start': 103, 'end': 122, 'answer': '\nArtikel Nr: 112030'}","{'score': 0.629973292350769, 'start': 6, 'end': 30, 'answer': ' H: 117cm B: 50cm T: 7cm'}","{'score': 0.011323373764753342, 'start': 6, 'end': 30, 'answer': ' H: 117cm B: 50cm T: 7cm'}",Lignite,Heat pipes,Pr_60_60_36_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products
