,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
21,779,779,antike Zimmertüre gestämmt,used & cleaned,['G01.05'],Internal pedestrian doors,,Ausbau,Türen & Tore,Innentüren,"rel gut erhaltene Zimmertüre mit  4 Füllungen ; Band: links mit Bändern u Schliesskasten, ohne Schlüssel",Wood,3.0,81.0,208,,,,,,145.0,,,1970-01-01,145.0,1970-01-01 00:00:00.000,0.0,1.0,265.0,,,useagain,79808,CH,de,20200525_160938_570x570.jpg,https://www.useagain.ch/de/antike-zimmertuere-gestaemmt-79808,G01.05,room door,,,,"{'score': 0.011796941980719566, 'start': 47, 'end': 53, 'answer': ' Band:'}","{'score': 1.4232360626920126e-05, 'start': 47, 'end': 104, 'answer': ' Band: links mit Bändern u Schliesskasten, ohne Schlüssel'}","{'score': 0.07864603400230408, 'start': 33, 'end': 45, 'answer': ' 4 Füllungen'}",Architectural glass,Door frames and leaves,Pr_30_59_23,"Roof, Slabs, Stairs","Door, Windows, Gates",Furnishings
186,956,956,Türblatt stumpf einschlagend,used & cleaned,['G01.05'],Internal pedestrian doors,,Ausbau,Türen & Tore,Innentüren,"sehr gut erhaltenes Türblatt, leicht, ohne Falz ( = stumpf einschlagend), inkl. Schloss u Schlüssel, Drückergarnitur, je 3 Scharniere, Band: rechts

Nr intern: 1539 / 40 ID15659 HP 82164 im E",Mixed,4.0,67.0,198,,,,,2022-07-19,100.0,,,1970-01-01,100.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,82164,CH,de,20210924_112352-kopie_570x570.jpg,https://www.useagain.ch/de/tuerblatt-stumpf-einschlagend-jg-2020-82164,G01.05,door leaf,,,,"{'score': 0.018478313460946083, 'start': 29, 'end': 37, 'answer': ' leicht,'}","{'score': 4.607954906532541e-06, 'start': 0, 'end': 47, 'answer': 'sehr gut erhaltenes Türblatt, leicht, ohne Falz'}","{'score': 0.00024059772840701044, 'start': 166, 'end': 169, 'answer': ' 40'}",Sitka spruce,Door frames and leaves,Pr_30_59_23,"Roof, Slabs, Stairs","Door, Windows, Gates","Floor plates, gratings and edgings"
315,1104,1104,Eingangstüre inkl . Rahmen,used & cleaned,['E03.02'],External pedestrian doors,,Ausbau,Türen & Tore,Aussentüren,"Adoro Modell Gerbera Premium

Zustand: sehr gut
Neupreis: 2500 bis 3000.-
Material: Aluminium mit Glaseinsatz (3-fach)

Rahmen Aussenmasse: H: 240cm B: 109cm
Infos: Türe kommt ohne Bolzen, diese müssen seperat erworben werden

Artikelnr: 111471",,,,,,,,,2022-05-31,890.0,,,1970-01-01,890.0,1970-01-01 00:00:00.000,0.0,1.0,0.0,"Münchenstein, 4142",,useagain,83027,CH,de,,https://www.useagain.ch/de/eingangstuere-inkl.-rahmen-83027,E03.02,extrerior doors,,,,"{'score': 0.6281589269638062, 'start': 87, 'end': 97, 'answer': ' Aluminium'}","{'score': 0.3815780580043793, 'start': 145, 'end': 163, 'answer': ' H: 240cm B: 109cm'}","{'score': 0.00016620149835944176, 'start': 113, 'end': 122, 'answer': ' (3-fach)'}",Sitka spruce,Door frames and leaves,Pr_30_59_23,"Roof, Slabs, Stairs","Door, Windows, Gates",Furnishings
475,1290,1290,Zimmertüre mit Rahmen,mixed,['G01.05'],Internal pedestrian doors,,Ausbau,Türen & Tore,Innentüren,"Zimmertüre:
Material: Holzart
Farbe: weiss
Türanschlag: links
Drückergarnitur mit Schloss, ohne Schlüssel
Zustand: mehrere Abnutzung am Türblatt, muss evtl neu lackiert werden

Aufsatzrahmen:
Material: Holzart
Farbe: braun
Ausführung: Renovationsrahmen/ zum Aufsetzen
Bänder: 2x
Montagelöcher vorhanden

Aussenmass: B 98cm x H 205cm x T/D 4.5cm
Lichtmass: B 80cm x H ca. 195.5cm",,,,,,,,,,120.0,,,1970-01-01,120.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Brügg, 2555",,useagain,82957,CH,de,,https://www.useagain.ch/de/zimmertuere-mit-rahmen-82957,G01.05,room door,,,,"{'score': 0.007889892905950546, 'start': 22, 'end': 30, 'answer': ' Holzart'}","{'score': 0.15479807555675507, 'start': 329, 'end': 358, 'answer': ' B 98cm x H 205cm x T/D 4.5cm'}","{'score': 1.0534187744326573e-08, 'start': 286, 'end': 336, 'answer': ' 2x\r\nMontagelöcher vorhanden\r\n\r\nAussenmass: B 98cm'}",Architectural glass,Door frames and leaves,Pr_30_59_23,"Roof, Slabs, Stairs","Door, Windows, Gates",Furnishings
1802,2653,2653,Tür Drückergarnitur inkl . Türschilder,used & cleaned,"['G01.03', 'Sonstiges']",Shaft fronts,,Ausbau,Türen & Tore,Zubehör,"Türdrückergarnitur aus Chromstahl inkl. Türschilder mit Schutz für Zylinder (Aussenseite) für Zimmertüre (Vierkant ist 8mm D)
viele weitere Drückergarnituren an Lager im BauTeilLaden Winterthur --&gt; fragen Sie danach",Metal,,5.0,25,,,,,,65.0,,,1970-01-01,65.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,,,useagain,75166,CH,de,20171027_161037_570x570.jpg,https://www.useagain.ch/de/tuer-drueckergarnitur-inkl.-tuerschilder-75166,G01.03,,,,,"{'score': 0.9766581654548645, 'start': 22, 'end': 33, 'answer': ' Chromstahl'}","{'score': 0.24128487706184387, 'start': 118, 'end': 122, 'answer': ' 8mm'}","{'score': 2.8159183784737252e-05, 'start': 118, 'end': 125, 'answer': ' 8mm D)'}",Sitka spruce,Door frames and leaves,Pr_30_59_23,"Roof, Slabs, Stairs","Door, Windows, Gates",Sanitary fittings and accessories
1817,2668,2668,antike Zimmertüre gestämmt,used & cleaned,['G01.05'],Internal pedestrian doors,,Ausbau,Türen & Tore,Innentüren,"rel gut erhaltene Zimmertüre mit  4 Füllungen ; Band: rechts mit Bändern u Schliesskasten, mit 1 Schlüssel, Die angegebenen Masse sind die Inneren Falzmasse",Wood,3.0,86.0,206,,,,,,145.0,,,1970-01-01,145.0,1970-01-01 00:00:00.000,0.0,1.0,179.0,,,useagain,79809,CH,de,20200525_161506_570x570.jpg,https://www.useagain.ch/de/antike-zimmertuere-gestaemmt-79809,G01.05,room door,,,,"{'score': 0.01394357718527317, 'start': 138, 'end': 156, 'answer': ' Inneren Falzmasse'}","{'score': 0.03509611263871193, 'start': 138, 'end': 156, 'answer': ' Inneren Falzmasse'}","{'score': 0.0024508319329470396, 'start': 107, 'end': 156, 'answer': ' Die angegebenen Masse sind die Inneren Falzmasse'}",Architectural glass,Door frames and leaves,Pr_30_59_23,"Roof, Slabs, Stairs","Door, Windows, Gates",Furnishings
2858,4048,4048,Panneau de portes blancs et gris,used,['E03.02'],External pedestrian doors,Portes et fenêtres,Ausbau,Türen & Tore,Aussentüren,"3 pcs peintes en gris, 16 pcs blanches",Compound,0.0,4.0,71,,,,,,0.0,1.0,39.0,1970-01-01,0.0,1970-01-01 00:00:00.000,208.5,1.0,13.0,,Pointe à Pitre,materiuum,2302-5953,CH,fr,"['https://materiuum.ch/wp-content/uploads/2023/02/2302-5953-a-600x338.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2302-5953-b-600x338.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2302-5953-c.jpg']",https://materiuum.ch/produit/338337-3/,E03.02,door panel,,,,"{'score': 0.029629310593008995, 'start': 16, 'end': 22, 'answer': ' gris,'}","{'score': 0.0009552345727570355, 'start': 0, 'end': 38, 'answer': '3 pcs peintes en gris, 16 pcs blanches'}","{'score': 0.06807412207126617, 'start': 0, 'end': 38, 'answer': '3 pcs peintes en gris, 16 pcs blanches'}",Sitka spruce,Door frames and leaves,Pr_30_59_23,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels
2863,4054,4054,Plaquette de porte,used,,,Quincaillerie,Baustoffe & Werkzeuge,Baustoffe & Werkzeuge,Baustoffe,"A l intérieur il y a 7 caisson pour mettre des documents comme on peut voir sur la photo.
Les porte ne sont plus là.",Aluminum,0.0,110.0,58,,.05kg,,,,1.0,0.0,24.0,1970-01-01,1.0,1970-01-01 00:00:00.000,,1.0,20.0,,MACO,materiuum,2302-5715,CH,fr,['https://materiuum.ch/wp-content/uploads/2023/02/2302-5715-a-600x800.jpg'],https://materiuum.ch/produit/345-19/,,door plaque,,,,"{'score': 1.3934017317751568e-07, 'start': 20, 'end': 30, 'answer': ' 7 caisson'}","{'score': 3.9198199374368414e-05, 'start': 20, 'end': 30, 'answer': ' 7 caisson'}","{'score': 0.05653238296508789, 'start': 20, 'end': 22, 'answer': ' 7'}",Sitka spruce,Door frames and leaves,Pr_30_59_23,"Wall, Barriers, Pannels","Door, Windows, Gates","Floor plates, gratings and edgings"
3227,4436,4436,Alte Zimmertüren,used,['G01.05'],Internal pedestrian doors,,Ausbau,Türen & Tore,Innentüren,"5 alte Zimmertüren aus Holz mit 4 Kassetten und Kastenschloss. Ca. 83 x 196 cm. 5 Stück: 3x weiss, 1x blau/weiss, 1x rot/gelb. Guter Zustand, bei 1 weissen Türe ist eine Kassette gewölbt.",,,,,,,,,,20.0,,,1970-01-01,20.0,2023-09-25 00:00:00.000,0.0,1.0,15.0,"Schüpfen, 3054",,useagain,92402,CH,de,,https://www.useagain.ch/de/alte-zimmertueren-92402,G01.05,room door,,,,"{'score': 0.7243309617042542, 'start': 22, 'end': 27, 'answer': ' Holz'}","{'score': 0.3322880268096924, 'start': 62, 'end': 79, 'answer': ' Ca. 83 x 196 cm.'}","{'score': 0.0799979567527771, 'start': 79, 'end': 88, 'answer': ' 5 Stück:'}",Architectural glass,Door frames and leaves,Pr_30_59_23,"Roof, Slabs, Stairs","Door, Windows, Gates",Furnishings
3599,4842,4843,Gestemmte Massive Tannentüre gebeizt,used,['E03.02'],External pedestrian doors,Portes et fenêtres,Ausbau,Türen & Tore,Aussentüren,"Futtertüre Tiefe 150mm, Massivholz Tanne
3x rechts gebandet
1x links gebandet 
Pro Stk 100 Fr ausgebaut.",Holz,,80.0,200,,25,mixed,A,,,,,,400.0,2023-09-25 00:00:00.000,,0.0,,"Thundorf , 8512",,useagain,92785,CH,de,img_9731_570x570.jpg,https://www.useagain.ch/de/gestemmte-massive-tannentuere-gebeizt-92785,E03.02,extrerior doors,400.0,,,"{'score': 0.6218045353889465, 'start': 23, 'end': 40, 'answer': ' Massivholz Tanne'}","{'score': 0.0006991649861447513, 'start': 10, 'end': 23, 'answer': ' Tiefe 150mm,'}","{'score': 0.06509794294834137, 'start': 78, 'end': 104, 'answer': '\nPro Stk 100 Fr ausgebaut.'}",Granule,Door frames and leaves,Pr_30_59_23,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels
