,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
868,1701,1701,Wand Laufen,"used, cleaned & tested",['D09.05'],"Wastewater: control fittings, appliances",,Gebäudetechnik & Sanitär,Sanitär,WCs - Toiletten,Farbe = beige,Ceramic,33.0,35.0,57,,,mixed,,2022-07-26,60.0,,,1970-01-01,60.0,1970-01-01 00:00:00.000,0.0,1.0,,"Zürich, 8050",,useagain,90225,CH,de,2716_1_%281%29_570x570.jpg,https://www.useagain.ch/de/wand-wc-laufen-90225,D09.05,WC,,,,"{'score': 0.8954205513000488, 'start': 7, 'end': 13, 'answer': ' beige'}","{'score': 0.014713949523866177, 'start': 7, 'end': 13, 'answer': ' beige'}","{'score': 0.009032179601490498, 'start': 7, 'end': 13, 'answer': ' beige'}",Gravel,Wall hangings,Pr_40_50_05_95,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units
1346,2197,2197,Paar Montageschrauben für Wand,used & cleaned,['Sonstiges'],,,Gebäudetechnik & Sanitär,Sanitär,Zubehör,"ca 50 Paare Befestigungsschrauben für Wand WC (kann auch für Lavabo od. Waschtisch verwendet werden), inkl. Mutter, Metall- und Kunststoff-Unterlagsscheibe, Preis für mehrere auf Anfrage (für Fr 2.-- noch 2 Dübel dazu erhältlich)",Metal,14.0,,,,,,,,8.0,,,1970-01-01,8.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,,,useagain,76651,CH,de,20180515_110648_570x570.jpg,https://www.useagain.ch/de/1-paar-montageschrauben-fuer-wand-wc-76651,,WC,,,,"{'score': 0.00014110452320892364, 'start': 127, 'end': 156, 'answer': ' Kunststoff-Unterlagsscheibe,'}","{'score': 0.0001565565908094868, 'start': 0, 'end': 45, 'answer': 'ca 50 Paare Befestigungsschrauben für Wand WC'}","{'score': 0.24954289197921753, 'start': 0, 'end': 11, 'answer': 'ca 50 Paare'}",Gravel,Wall hangings,Pr_40_50_05_95,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units
1473,2324,2324,Wand Laufen,"used, cleaned & tested",['D09.05'],"Wastewater: control fittings, appliances",,Gebäudetechnik & Sanitär,Sanitär,WCs - Toiletten,Produkte-Nr. 2757,Ceramic,21.0,13.0,"13,5",,,white,,2022-09-19,60.0,,,1970-01-01,60.0,1970-01-01 00:00:00.000,0.0,1.0,,"Zürich, 8050",,useagain,90550,CH,de,2757_2_570x570.jpg,https://www.useagain.ch/de/wand-wc-laufen-90550,D09.05,WC,,,,"{'score': 0.0009930817177519202, 'start': 0, 'end': 17, 'answer': 'Produkte-Nr. 2757'}","{'score': 0.00011054439528379589, 'start': 12, 'end': 17, 'answer': ' 2757'}","{'score': 0.4215540885925293, 'start': 12, 'end': 17, 'answer': ' 2757'}",Gravel,Wall hangings,Pr_40_50_05_95,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units
1721,2572,2572,Wand von,like new,['D09.05'],"Wastewater: control fittings, appliances",,Gebäudetechnik & Sanitär,Sanitär,WCs - Toiletten,"unbenütztes /neues Wand Wc für Unterputspülkasten, von Vitra,
Ab- und Zu-Fluss Abstand 13,5 cm = neuester Standard",Ceramic,64.0,35.0,"45,5",,,,,,120.0,,,1970-01-01,120.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,,,useagain,80352,CH,de,20200926_114437_570x570.jpg,https://www.useagain.ch/de/up-wand-wc-von-vitra-80352,D09.05,WC,,,,"{'score': 0.0003392949001863599, 'start': 0, 'end': 11, 'answer': 'unbenütztes'}","{'score': 0.12991423904895782, 'start': 86, 'end': 94, 'answer': ' 13,5 cm'}","{'score': 0.0056391628459095955, 'start': 0, 'end': 26, 'answer': 'unbenütztes /neues Wand Wc'}",Wallaba,Wall hangings,Pr_40_50_05_95,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units
1828,2679,2679,kurzes Wand von Laufen,used & cleaned,['D09.05'],"Wastewater: control fittings, appliances",,Gebäudetechnik & Sanitär,Sanitär,WCs - Toiletten,"spez kurzes UP Wand WC von Laufen, vermutl. von 2014",Ceramic,48.0,36.0,36,,,,,,125.0,,,1970-01-01,125.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,"Winterthur, 8405",,useagain,77111,CH,de,12.09.2012-023_570x570.jpg,https://www.useagain.ch/de/kurzes-up-wand-wc-von-laufen-77111,D09.05,WC,,,,"{'score': 0.03717217594385147, 'start': 11, 'end': 22, 'answer': ' UP Wand WC'}","{'score': 0.007207280956208706, 'start': 11, 'end': 22, 'answer': ' UP Wand WC'}","{'score': 4.4932727178093046e-05, 'start': 0, 'end': 22, 'answer': 'spez kurzes UP Wand WC'}",Sitka spruce,Wall hangings,Pr_40_50_05_95,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units
1844,2695,2695,Wand von Laufen,used & cleaned,['D09.05'],"Wastewater: control fittings, appliances",,Gebäudetechnik & Sanitär,Sanitär,WCs - Toiletten,"UP-Wand WC von Laufen aus dem jetzigen  Angebot - Abstand : zu- / Ab-lauf: 13,5cm,  speziell kurze Version;
diverse UP- und andere WC-Schüsseln an Lager, die noch nicht aufgeschaltet sind --&gt; fragen Sie danach: 052 238 27 00",Ceramic,49.0,,,,,,,,120.0,,,1970-01-01,120.0,1970-01-01 00:00:00.000,0.0,1.0,173.0,,,useagain,68712,CH,de,20161216_101005_570x570.jpg,https://www.useagain.ch/de/up-wand-wc-von-laufen-68712,D09.05,WC,,,,"{'score': 0.008971582166850567, 'start': 14, 'end': 21, 'answer': ' Laufen'}","{'score': 0.005716996733099222, 'start': 74, 'end': 82, 'answer': ' 13,5cm,'}","{'score': 3.986347564932657e-06, 'start': 107, 'end': 153, 'answer': '\ndiverse UP- und andere WC-Schüsseln an Lager,'}",Wallaba,Wall hangings,Pr_40_50_05_95,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units
1847,2698,2698,Wand von Laufen,used & cleaned,['D09.05'],"Wastewater: control fittings, appliances",,Gebäudetechnik & Sanitär,Sanitär,WCs - Toiletten,"UP Wand WC von Laufen, neues Modell, chemisch entkalkt. 
meistens noch viele andere Typen u Marken an Lager-&gt; Fragen Sie danach im BauTeilLaden Winterthur : 052 238 27 00",Ceramic,57.0,36.0,36,,,,,,120.0,,,1970-01-01,120.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,,,useagain,73731,CH,de,20180731_162410_570x570.jpg,https://www.useagain.ch/de/up-wand-wc-von-laufen-73731,D09.05,WC,,,,"{'score': 0.00045201918692328036, 'start': 36, 'end': 55, 'answer': ' chemisch entkalkt.'}","{'score': 3.0943838282837532e-06, 'start': 0, 'end': 10, 'answer': 'UP Wand WC'}","{'score': 1.4675624697702006e-06, 'start': 0, 'end': 10, 'answer': 'UP Wand WC'}",Wallaba,Wall hangings,Pr_40_50_05_95,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units
1915,2766,2766,Stalllampe für an Wand /Decke gerade,used & cleaned,"['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,"sehr gut erhaltene Stalllampe gerade für an Wand oder Decke, mit keram. Sockel, Emailleschirm , inkl. Glühbirne",Mixed,,,,20,,,,,45.0,,,1970-01-01,45.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,,,useagain,75621,CH,de,20171011_161146_570x570.jpg,https://www.useagain.ch/de/stalllampe-fuer-an-wand-decke-gerade-75621,D01,lamp,,,,"{'score': 0.26852285861968994, 'start': 79, 'end': 93, 'answer': ' Emailleschirm'}","{'score': 0.004663835745304823, 'start': 29, 'end': 60, 'answer': ' gerade für an Wand oder Decke,'}","{'score': 0.0016002280171960592, 'start': 0, 'end': 29, 'answer': 'sehr gut erhaltene Stalllampe'}",Sitka spruce,Wall hangings,Pr_40_50_05_95,"Wall, Barriers, Pannels","Floors, Ceiling",Walling units
2141,2997,2997,Wand Laufen,"used, cleaned & tested",['D09.05'],"Wastewater: control fittings, appliances",,Gebäudetechnik & Sanitär,Sanitär,WCs - Toiletten,Produkte Nr. 2843,Ceramic,60.0,34.0,44,,,white,,2022-12-13,60.0,,,1970-01-01,60.0,1970-01-01 00:00:00.000,0.0,1.0,101.0,"Zürich, 8050",,useagain,91509,CH,de,2843-2_570x570.jpg,https://www.useagain.ch/de/wand-wc-laufen-91509,D09.05,WC,,,,"{'score': 0.000653363938909024, 'start': 0, 'end': 17, 'answer': 'Produkte Nr. 2843'}","{'score': 0.0001021509087877348, 'start': 12, 'end': 17, 'answer': ' 2843'}","{'score': 0.3798474073410034, 'start': 12, 'end': 17, 'answer': ' 2843'}",Gravel,Wall hangings,Pr_40_50_05_95,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units
2794,3978,3978,Wand Laufen,"used, cleaned & tested",['D09.05'],"Wastewater: control fittings, appliances",,Gebäudetechnik & Sanitär,Sanitär,WCs - Toiletten,Produkte-Nr. 2936,Ceramic,42.0,35.0,69,,,white,,2023-02-24,60.0,,,1970-01-01,60.0,1970-01-01 00:00:00.000,0.0,1.0,25.0,"Zürich, 8050",,useagain,92046,CH,de,2936-2_570x570.jpg,https://www.useagain.ch/de/wand-wc-laufen-92046,D09.05,WC,,,,"{'score': 0.0010187228908762336, 'start': 0, 'end': 17, 'answer': 'Produkte-Nr. 2936'}","{'score': 0.0002461715484969318, 'start': 12, 'end': 17, 'answer': ' 2936'}","{'score': 0.6793678998947144, 'start': 12, 'end': 17, 'answer': ' 2936'}",Gravel,Wall hangings,Pr_40_50_05_95,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units
