,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
87,847,847,Industrieleuchten,used & cleaned,"['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,"Tulux Industrieleuchte
3 mal 32W (7200lm) Leuchtmittel PL-TTOP 4P Phillips 
GX24q-3 Fassung
2 Vorschaltgeräte eingebaut
Verstellbare Aufhängung
Deckenmontage mit Grundplatte und Abdeckung",Metal,,41.0,67,41,,,,,50.0,,,1970-01-01,50.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Zürich, 8047",,useagain,79862,CH,de,img_3409_570x570.jpeg,https://www.useagain.ch/de/industrieleuchten-79862,D01,lighting,,,,"{'score': 3.080515671172179e-05, 'start': 65, 'end': 83, 'answer': ' Phillips \nGX24q-3'}","{'score': 0.012665490619838238, 'start': 143, 'end': 157, 'answer': '\nDeckenmontage'}","{'score': 0.4355841279029846, 'start': 22, 'end': 32, 'answer': '\n3 mal 32W'}",Wired glass,Lamps,Pr_70_70_46,Technical elements,Other,Power and lighting outlet products
1289,2140,2140,Backofenlampe einbau,"used, cleaned & tested",['Sonstiges'],,,Ausbau,Küchen & Gastronomie,Zubehör,"Hersteller: keine Angaben
Garantie: ohne Garantie
Masse: H: 9 cm, B: 4/8 cm, T: 6 cm
Mängel: Gebrauchsspuren
Zustand: occasion/gebraucht

Artikel Nr: 112247",Mixed,6.0,8.0,9,,,mixed,,2022-10-06,9.0,,,1970-01-01,9.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,"Münchenstein, 4142",,useagain,90800,CH,de,112247_570x570.jpg,https://www.useagain.ch/de/backofenlampe-einbau-90800,,oven,,,,"{'score': 0.00044848379911854863, 'start': 25, 'end': 35, 'answer': '\nGarantie:'}","{'score': 0.901444673538208, 'start': 56, 'end': 84, 'answer': ' H: 9 cm, B: 4/8 cm, T: 6 cm'}","{'score': 0.28151407837867737, 'start': 56, 'end': 84, 'answer': ' H: 9 cm, B: 4/8 cm, T: 6 cm'}",Sitka spruce,Lamps,Pr_70_70_46,Furnishings,Furnishings,Power and lighting outlet products
1364,2215,2215,Lampe,mixed,"['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,Produkte-Nr.: 2656,,,,,,,,,2022-08-11,30.0,,,1970-01-01,30.0,1970-01-01 00:00:00.000,0.0,1.0,83.0,"Zürich, 8050",,useagain,83082,CH,de,2656_570x570.jpg,https://www.useagain.ch/de/lampe-83082,D01,lamp,,,,"{'score': 0.006217384710907936, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2656'}","{'score': 0.0003714274207595736, 'start': 13, 'end': 18, 'answer': ' 2656'}","{'score': 0.48127812147140503, 'start': 13, 'end': 18, 'answer': ' 2656'}",Fir,Lamps,Pr_70_70_46,Furnishings,Furnishings,Power and lighting outlet products
1647,2498,2498,Lampe,mixed,"['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,Produkte-Nr.: 2659,,,,,,,,,2022-08-11,30.0,,,1970-01-01,30.0,1970-01-01 00:00:00.000,0.0,1.0,29.0,"Zürich, 8050",,useagain,83085,CH,de,2659_570x570.jpg,https://www.useagain.ch/de/lampe-83085,D01,lamp,,,,"{'score': 0.005287097301334143, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2659'}","{'score': 0.0004068746347911656, 'start': 13, 'end': 18, 'answer': ' 2659'}","{'score': 0.4841218888759613, 'start': 13, 'end': 18, 'answer': ' 2659'}",Fir,Lamps,Pr_70_70_46,Furnishings,Furnishings,Power and lighting outlet products
1909,2760,2760,Raumanzeigelampe,"used, cleaned & tested","['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,"Hersteller: keine Angaben
Garantie: ohne Garantie
Mängel: Gebrauchsspuren
Material: gemischt
Zustand: occasion/gebraucht

Artikel Nr: 110155",Mixed,,,,,,mixed,,2022-10-24,5.0,,,1970-01-01,5.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,"Münchenstein, 4142",,useagain,91157,CH,de,110155_1_570x570.jpg,https://www.useagain.ch/de/raumanzeigelampe-91157,D01,lamp,,,,"{'score': 0.986214816570282, 'start': 83, 'end': 92, 'answer': ' gemischt'}","{'score': 2.4315510017913766e-05, 'start': 83, 'end': 92, 'answer': ' gemischt'}","{'score': 0.004477584734559059, 'start': 83, 'end': 140, 'answer': ' gemischt\nZustand: occasion/gebraucht\n\nArtikel Nr: 110155'}",Sitka spruce,Lamps,Pr_70_70_46,Furnishings,Furnishings,Power and lighting outlet products
1912,2763,2763,Lampe,"used, cleaned & tested","['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,"Hersteller: keine Angaben
Garantie: ohne Garantie
Masse: H: 30 cm, B: 60,5 cm, T: 10 cm
Mängel: Gebrauchsspuren
Material: gemischt
Zustand: occasion/gebraucht

Artikel Nr: 111401",Mixed,10.0,60.0,30,,,mixed,,2022-10-03,30.0,,,1970-01-01,30.0,1970-01-01 00:00:00.000,0.0,1.0,173.0,"Münchenstein, 4142",,useagain,90735,CH,de,111401_570x570.jpg,https://www.useagain.ch/de/lampe-90735,D01,lamp,,,,"{'score': 0.9878816604614258, 'start': 121, 'end': 130, 'answer': ' gemischt'}","{'score': 0.06424224376678467, 'start': 59, 'end': 87, 'answer': ' 30 cm, B: 60,5 cm, T: 10 cm'}","{'score': 0.052684884518384933, 'start': 59, 'end': 87, 'answer': ' 30 cm, B: 60,5 cm, T: 10 cm'}",Fir,Lamps,Pr_70_70_46,Furnishings,Furnishings,Power and lighting outlet products
1926,2777,2777,Wandleuchten Philips,used & cleaned,"['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,sehr gut erhaltene Wandleuchten z. Für im Gang; mit je 2x TLS 14 W,Mixed,9.0,26.0,"62,5",,,,,2022-09-30,75.0,,,1970-01-01,75.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,,,useagain,72161,CH,de,20160810_162307_570x570.jpg,https://www.useagain.ch/de/wandleuchten-philips-savio-72161,D01,wall light,,,,"{'score': 7.544977961515542e-06, 'start': 0, 'end': 47, 'answer': 'sehr gut erhaltene Wandleuchten z. Für im Gang;'}","{'score': 5.490590774570592e-05, 'start': 0, 'end': 47, 'answer': 'sehr gut erhaltene Wandleuchten z. Für im Gang;'}","{'score': 0.3886432349681854, 'start': 54, 'end': 66, 'answer': ' 2x TLS 14 W'}",Reflective glass,Lamps,Pr_70_70_46,Technical elements,Other,"Lighting columns, brackets and bollards"
2868,4059,4059,Lampe,used,"['D01.05', 'J01.03']",Electrical installations,Electricités et luminaires,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,Lampe suspendue,Glass,0.0,30.0,30,,,,,,70.0,0.0,4.0,1970-01-01,70.0,1970-01-01 00:00:00.000,,1.0,0.0,,ECO-CUI DEB,materiuum,2202-3356,CH,fr,"['https://materiuum.ch/wp-content/uploads/2023/02/2202-3356-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2202-3356-b-600x800.jpg']",https://materiuum.ch/produit/389-18/,D01,lamp,,,,"{'score': 0.2870144546031952, 'start': 0, 'end': 15, 'answer': 'Lampe suspendue'}","{'score': 0.0035786700900644064, 'start': 0, 'end': 15, 'answer': 'Lampe suspendue'}","{'score': 0.0005175052210688591, 'start': 0, 'end': 15, 'answer': 'Lampe suspendue'}",Fir,Lamps,Pr_70_70_46,Furnishings,Furnishings,Power and lighting outlet products
2869,4060,4060,Lampe extérieur,used,"['D01.05', 'J01.03']",Electrical installations,Electricités et luminaires,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,Led,Steel,0.0,18.0,68,,,,,,0.0,1.0,6.0,1970-01-01,0.0,1970-01-01 00:00:00.002,193.0,1.0,14.0,,Pointe à Pitre,materiuum,2302-5682,CH,fr,"['https://materiuum.ch/wp-content/uploads/2023/02/2302-5682-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2302-5682-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2302-5682-c-600x800.jpg']",https://materiuum.ch/produit/344-5/,D01,lamp,,,,"{'score': 0.842210054397583, 'start': 0, 'end': 3, 'answer': 'Led'}","{'score': 0.016124505549669266, 'start': 0, 'end': 3, 'answer': 'Led'}","{'score': 0.006145162507891655, 'start': 0, 'end': 3, 'answer': 'Led'}",Reflective glass,Lamps,Pr_70_70_46,Furnishings,Furnishings,Power and lighting outlet products
3089,4290,4290,Deckenleuchten mit Reflektor,"used, cleaned & tested","['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,"Deckenleuchten mit Reflektor 36W

mit Montagematerial (Clip für Deckenmontage)",Mixed,17.0,105.0,15,,,,,2022-06-07,20.0,,,1970-01-01,20.0,2023-09-25 00:00:00.000,0.0,1.0,33.0,"Brügg, 2555",,useagain,78474,CH,de,hintergrund-horizontal-neu_%283%29_570x570.png,https://www.useagain.ch/de/deckenleuchten-mit-reflektor-36w-78474,D01,ceiling light,,,,"{'score': 0.8825040459632874, 'start': 37, 'end': 53, 'answer': ' Montagematerial'}","{'score': 0.002908982802182436, 'start': 53, 'end': 78, 'answer': ' (Clip für Deckenmontage)'}","{'score': 0.845921516418457, 'start': 28, 'end': 32, 'answer': ' 36W'}",Reflective glass,Lamps,Pr_70_70_46,Furnishings,"Floors, Ceiling",Power and lighting outlet products
