,third_level,SoldAfterDays,CountEntity,Rank_SoldAfterDays,Rank_CountEntity,Score
3,Glass blocks and panels,99.9544776119403,1340,4.0,2.0,6.0
17,Treads and landing units,72.81121495327103,535,2.0,8.0,10.0
2,Sanitary fittings and accessories,129.08995910949568,2201,11.0,1.0,12.0
4,Space heating and cooling products,123.2436224489796,784,9.0,4.0,13.0
7,Furnishings,121.65273775216139,694,8.0,6.0,14.0
1,Other,113.4108527131783,516,7.0,9.0,16.0
23,Prefabricated buildings and structures,81.1025641025641,156,3.0,15.0,18.0
8,Safety cages,135.8388888888889,540,14.0,7.0,21.0
10,"Floor plates, gratings and edgings",140.17906336088154,726,17.0,5.0,22.0
18,Headwall and swale inlet products,124.56306306306307,222,10.0,12.0,22.0
0,Sectional products,104.95402298850574,87,5.0,19.0,24.0
15,Structural roofing units,132.8308823529412,272,13.0,11.0,24.0
5,"Lighting columns, brackets and bollards",160.7884788478848,1111,22.0,3.0,25.0
24,Handrails,131.85496183206106,131,12.0,17.0,29.0
29,Shaft-lining products,111.5909090909091,44,6.0,23.0,29.0
27,Retaining wall units,71.16666666666667,6,1.0,28.0,29.0
13,Walling units,139.14973262032086,187,16.0,14.0,30.0
11,Power and lighting outlet products,164.34615384615384,338,24.0,10.0,34.0
12,Trim products,161.17567567567568,222,23.0,12.0,35.0
21,Hardware products,138.2394366197183,71,15.0,21.0,36.0
14,Wire structure and general products,157.0814814814815,135,21.0,16.0,37.0
6,Support and restraint products,166.93859649122808,114,25.0,18.0,43.0
19,"Non-rigid sheet, mat and strip covering and finish products",152.5,42,20.0,24.0,44.0
20,Structure and general products,151.14285714285714,21,19.0,26.0,45.0
26,Fastener products,151.07692307692307,13,18.0,27.0,45.0
16,Masonry walling units,196.0,85,28.0,20.0,48.0
22,Unit covering and finish products,174.84126984126985,63,26.0,22.0,48.0
9,Air and fume distribution products,194.21621621621622,37,27.0,25.0,52.0
